0, 0
1, 0
2, 0
3, 0
---
0, 0
1, 4
2, 4
3, 1
---
0, 0
1, 49
2, 23
3, 23
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 77359
2, 38681
3, 38681
---
0, 0
1, 77359
2, 38681
3, 38681
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 83941
2, 41975
3, 41969
---
0, 0
1, 90001
2, 45005
3, 44997
---
0, 0
1, 90291
2, 45155
3, 45137
---
0, 0
1, 99793
2, 49499
