0, 0
1, 0
2, 0
3, 0
---
0, 0
1, 4
2, 4
3, 2
---
0, 0
1, 79
2, 43
3, 41
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 1063
2, 533
3, 533
---
0, 0
1, 77359
2, 38681
3, 38681
---
0, 0
1, 77359
2, 38681
3, 38681
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77547
2, 38775
3, 38775
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 77551
2, 38777
3, 38777
---
0, 0
1, 83941
2, 41975
3, 41969
---
0, 0
1, 89871
2, 44941
3, 44933
---
0, 0
1, 95673
2, 47863
3, 48591
---
0, 0
1, 99453
2, 49993
