event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x2fed490,A1,14035168
1,0.627412,0x2fed490,A1,28070336
2,1.144393,0x2fed490,A1,70175840
3,2.543635,0x2fed490,A1,112281344
4,3.924873,0x2fed490,A1,126316512
5,4.453299,0x2fed490,A1,168422016
6,5.866490,0x2fed490,A1,210527520
7,7.246977,0x2fed490,A1,252633024
8,8.712270,0x2fed490,A1,259650608
9,8.976033,0x2fed490,A1,266668192
10,9.027303,0x2fed490,A1,308773696
11,9.062171,0x2fed490,A1,350879200
12,9.097950,0x2fed490,A1,392984704
13,9.136333,0x2fed490,A1,407019872
14,9.156340,0x2fed490,A1,449125376
15,9.188875,0x2fed490,A1,491230880
16,9.227578,0x2fed490,A1,505266048
17,9.246544,0x2fed490,A1,519301216
18,9.293979,0x2fed490,A1,519301216
19,10.275969,0x3d52010,A0,14100464
20,10.890213,0x3d52010,A0,28200928
21,11.367368,0x3d52010,A0,70502320
22,12.820324,0x3d52010,A0,112803712
23,13.646069,0x2fed490,A1,519632776
24,13.698050,0x2fed490,A1,519964336
25,13.840666,0x2fed490,A1,519632776
26,13.898896,0x2fed490,A1,512615192
27,13.903833,0x2fed490,A1,470509688
28,13.905325,0x2fed490,A1,428404184
29,13.906547,0x2fed490,A1,386298680
30,13.910092,0x2fed490,A1,372263512
31,13.910933,0x2fed490,A1,330158008
32,13.911363,0x2fed490,A1,288052504
33,13.911954,0x2fed490,A1,274017336
34,13.912886,0x2fed490,A1,259982168
35,13.922329,0x2fed490,A1,266999752
36,13.947213,0x2fed490,A1,309105256
37,13.982381,0x2fed490,A1,351210760
38,14.017660,0x2fed490,A1,393316264
39,14.053729,0x2fed490,A1,407351432
40,14.074478,0x2fed490,A1,449456936
41,14.107353,0x2fed490,A1,491562440
42,14.142070,0x2fed490,A1,505597608
43,14.196936,0x2fed490,A1,519632776
44,14.218085,0x2fed490,A1,519964336
45,14.239755,0x3d52010,A0,126904176
46,14.241337,0x2fed490,A1,717298284
47,14.921992,0x3d52010,A0,169205568
48,16.765835,0x3d52010,A0,211506960
49,16.922330,0x2f89300,A2,11422632
50,17.755665,0x2f89300,A2,22845264
51,18.444101,0x2f89300,A2,57113160
52,19.120320,0x3d52010,A0,253808352
53,20.294914,0x2f89300,A2,91381056
54,21.760528,0x3d52010,A0,260858584
55,22.267394,0x3d52010,A0,267908816
56,22.331903,0x3d52010,A0,310210208
57,22.369144,0x3d52010,A0,352511600
58,22.406275,0x3d52010,A0,394812992
59,22.447181,0x3d52010,A0,408913456
60,22.456394,0x2f89300,A2,102803688
61,22.468300,0x3d52010,A0,451214848
62,22.501666,0x3d52010,A0,493516240
63,22.537706,0x3d52010,A0,507616704
64,22.562750,0x3d52010,A0,521717168
65,22.619548,0x3d52010,A0,521717168
66,23.030032,0x2f89300,A2,137071584
67,24.239103,0x2fed490,A1,921649816
68,24.517215,0x2f89300,A2,171339480
69,26.054137,0x2f89300,A2,205607376
70,26.422633,0x3e13310,A3,10897976
71,27.050626,0x3e13310,A3,21795952
72,27.210055,0x3d52010,A0,522057740
73,27.282354,0x3d52010,A0,522398312
74,27.407967,0x3d52010,A0,522057740
75,27.463583,0x3d52010,A0,515007508
76,27.469111,0x3d52010,A0,472706116
77,27.470543,0x3d52010,A0,430404724
78,27.471795,0x3d52010,A0,388103332
79,27.474318,0x3d52010,A0,374002868
80,27.475249,0x3d52010,A0,331701476
81,27.475700,0x3d52010,A0,289400084
82,27.476341,0x3d52010,A0,275299620
83,27.477232,0x3d52010,A0,261199156
84,27.490711,0x3d52010,A0,268249388
85,27.515955,0x3d52010,A0,310550780
86,27.692047,0x3e13310,A3,54489880
87,27.700519,0x2f89300,A2,211318692
88,27.756095,0x3d52010,A0,352852172
89,27.800917,0x3d52010,A0,395153564
90,27.839660,0x3d52010,A0,409254028
91,27.860669,0x3d52010,A0,451555420
92,27.895376,0x3d52010,A0,493856812
93,27.932317,0x3d52010,A0,507957276
94,27.986392,0x3d52010,A0,522057740
95,28.012257,0x3d52010,A0,522398312
96,28.034788,0x3d52010,A0,719681840
97,29.204265,0x2f89300,A2,217030008
98,29.249877,0x2f89300,A2,251297904
99,29.281030,0x2f89300,A2,285565800
100,29.314036,0x2f89300,A2,319833696
101,29.349104,0x2f89300,A2,331256328
102,29.368140,0x2f89300,A2,365524224
103,29.400164,0x2f89300,A2,399792120
104,29.421003,0x3e13310,A3,87183808
105,29.429064,0x2f89300,A2,411214752
106,29.447509,0x2f89300,A2,422637384
107,29.494483,0x2f89300,A2,422637384
108,31.200578,0x3e13310,A3,98081784
109,33.546170,0x3e13310,A3,130775712
110,33.555243,0x2fed490,A1,1330352880
111,33.823401,0x2f89300,A2,423075328
112,33.883694,0x2f89300,A2,423513272
113,34.012221,0x2f89300,A2,423075328
114,34.068618,0x2f89300,A2,417364012
115,34.073595,0x2f89300,A2,383096116
116,34.075167,0x2f89300,A2,348828220
117,34.076659,0x2f89300,A2,314560324
118,34.079673,0x2f89300,A2,303137692
119,34.080494,0x2f89300,A2,268869796
120,34.081005,0x2f89300,A2,234601900
121,34.081526,0x2f89300,A2,223179268
122,34.082297,0x2f89300,A2,211756636
123,34.091660,0x2f89300,A2,217467952
124,34.116284,0x2f89300,A2,251735848
125,34.145734,0x2f89300,A2,286003744
126,34.176446,0x2f89300,A2,320271640
127,34.210403,0x2f89300,A2,331694272
128,34.230180,0x2f89300,A2,365962168
129,34.258549,0x2f89300,A2,400230064
130,34.288230,0x2f89300,A2,411652696
131,34.348012,0x2f89300,A2,423075328
132,34.367278,0x2f89300,A2,423513272
133,34.396779,0x2f89300,A2,620559440
134,35.463465,0x3e13310,A3,163469640
135,37.652802,0x3e13310,A3,196163568
136,39.128580,0x3d52010,A0,924015600
137,40.027575,0x3e13310,A3,201612556
138,41.091597,0x3e13310,A3,207061544
139,41.303829,0x3e13310,A3,239755472
140,41.336544,0x3e13310,A3,272449400
141,41.366835,0x3e13310,A3,305143328
142,41.404517,0x3e13310,A3,316041304
143,41.426858,0x3e13310,A3,348735232
144,41.457109,0x3e13310,A3,381429160
145,41.487201,0x3e13310,A3,392327136
146,41.508009,0x3e13310,A3,403225112
147,41.560261,0x3e13310,A3,403225112
148,45.965844,0x3e13310,A3,403668620
149,46.031204,0x3e13310,A3,404112128
150,46.090876,0x2f89300,A2,823316924
151,46.169213,0x3e13310,A3,403668620
152,46.231048,0x3e13310,A3,398219632
153,46.235555,0x3e13310,A3,365525704
154,46.237557,0x3e13310,A3,332831776
155,46.238929,0x3e13310,A3,300137848
156,46.242394,0x3e13310,A3,289239872
157,46.243325,0x3e13310,A3,256545944
158,46.243996,0x3e13310,A3,223852016
159,46.244647,0x3e13310,A3,212954040
160,46.245488,0x3e13310,A3,202056064
161,46.254551,0x3e13310,A3,207505052
162,46.279165,0x3e13310,A3,240198980
163,46.311028,0x3e13310,A3,272892908
164,46.340218,0x3e13310,A3,305586836
165,46.373785,0x3e13310,A3,316484812
166,46.393111,0x3e13310,A3,349178740
167,46.422942,0x3e13310,A3,381872668
168,46.454065,0x3e13310,A3,392770644
169,46.514718,0x3e13310,A3,403668620
170,46.533364,0x3e13310,A3,404112128
171,46.568122,0x3e13310,A3,601084628
