seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
0,-1,0,setup.start,point,0,0,0
1,0,0,setup.end,point,16836906384,40000000000,19429913496
2,1,1,timeStep,enter,16836906384,40000000000,19429913496
3,1,1,step-start,point,16836906384,40000000000,19429913496
4,1,1,momentumSolve,enter,18976922283,40000000000,21691780683
5,-1,1,PDE.solveRhs.afterAssemble,point,19436349387,40000000000,24821719731
6,-1,1,PDE.solveRhs.afterSavedRhs,point,19828357971,40000000000,24821719731
7,-1,1,PDE.solveRhs.beforeSolve,point,19828357971,40000000000,24821719731
8,-1,1,PDE.solveRhs.afterSolve,point,19828357971,40000000000,24821719731
9,1,1,momentumSolve,exit,19436349387,40000000000,24821719731
10,1,1,after-UEqn,point,19436349387,40000000000,24821719731
11,1,1,pEqn,enter,21481901083,40000000000,24821719731
12,-1,1,PDE.solveImpl.beforeAssemble,point,22621356619,40000000000,24821719731
13,-1,1,PDE.solveImpl.afterAssemble,point,23015448955,40000000000,24821719731
14,-1,1,PDE.solveImpl.beforeSolve,point,23015448955,40000000000,24821719731
15,-1,1,PDE.solveImpl.afterSolve,point,23015448955,40000000000,24821719731
16,1,1,pEqn,exit,23015448955,40000000000,24821719731
17,1,1,after-pEqn,point,20969897259,40000000000,24821719731
18,-1,1,kOmegaSST.correct,enter,20969897259,40000000000,24821719731
19,-1,1,kOmegaSST.afterGradients,point,20969897259,40000000000,24821719731
20,-1,1,kOmegaSST.omegaEqn.before,point,20969897259,40000000000,24821719731
21,-1,1,PDE.solveImpl.beforeAssemble,point,22109352795,40000000000,24821719731
22,-1,1,PDE.solveImpl.afterAssemble,point,22109352795,40000000000,24821719731
23,-1,1,PDE.solveImpl.beforeSolve,point,22109352795,40000000000,24821719731
24,-1,1,PDE.solveImpl.afterSolve,point,22109352795,40000000000,24821719731
25,-1,1,kOmegaSST.omegaEqn.after,point,22109352795,40000000000,24821719731
26,-1,0,kOmegaSST.boundRepair,enter,22109352795,40000000000,24821719731
27,-1,0,kOmegaSST.boundRepair,exit,22109352795,40000000000,24821719731
28,-1,1,kOmegaSST.kEqn.before,point,22109352795,40000000000,24821719731
29,-1,1,PDE.solveImpl.beforeAssemble,point,23248808331,40000000000,25395298091
30,-1,1,PDE.solveImpl.afterAssemble,point,23248808331,40000000000,25395298091
31,-1,1,PDE.solveImpl.beforeSolve,point,23248808331,40000000000,25395298091
32,-1,1,PDE.solveImpl.afterSolve,point,23248808331,40000000000,25395298091
33,-1,1,kOmegaSST.kEqn.after,point,23248808331,40000000000,25395298091
34,-1,1,kOmegaSST.correct,exit,23248808331,40000000000,25395298091
35,1,1,after-turb,point,23248808331,40000000000,25395298091
36,1,1,timeStep,exit,23248808331,40000000000,25395298091
37,2,2,timeStep,enter,23248808331,40000000000,25395298091
38,2,2,step-start,point,23248808331,40000000000,25395298091
39,2,2,momentumSolve,enter,23248808331,40000000000,25395298091
40,-1,2,PDE.solveRhs.afterAssemble,point,23248808331,40000000000,28634178675
41,-1,2,PDE.solveRhs.afterSavedRhs,point,23640816915,40000000000,28634178675
42,-1,2,PDE.solveRhs.beforeSolve,point,23640816915,40000000000,28634178675
43,-1,2,PDE.solveRhs.afterSolve,point,23640816915,40000000000,28634178675
44,2,2,momentumSolve,exit,23248808331,40000000000,28634178675
45,2,2,after-UEqn,point,23248808331,40000000000,28634178675
46,2,2,pEqn,enter,25294360027,40000000000,28634178675
47,-1,2,PDE.solveImpl.beforeAssemble,point,25294360027,40000000000,28634178675
48,-1,2,PDE.solveImpl.afterAssemble,point,25294360027,40000000000,28634178675
49,-1,2,PDE.solveImpl.beforeSolve,point,25294360027,40000000000,28634178675
50,-1,2,PDE.solveImpl.afterSolve,point,25294360027,40000000000,28634178675
51,2,2,pEqn,exit,25294360027,40000000000,28634178675
52,2,2,after-pEqn,point,23248808331,40000000000,28634178675
53,-1,2,kOmegaSST.correct,enter,23248808331,40000000000,28634178675
54,-1,2,kOmegaSST.afterGradients,point,23248808331,40000000000,28634178675
55,-1,2,kOmegaSST.omegaEqn.before,point,23248808331,40000000000,28634178675
56,-1,2,PDE.solveImpl.beforeAssemble,point,23248808331,40000000000,28634178675
57,-1,2,PDE.solveImpl.afterAssemble,point,23248808331,40000000000,28634178675
58,-1,2,PDE.solveImpl.beforeSolve,point,23248808331,40000000000,28634178675
59,-1,2,PDE.solveImpl.afterSolve,point,23248808331,40000000000,28634178675
60,-1,2,kOmegaSST.omegaEqn.after,point,23248808331,40000000000,28634178675
61,-1,0,kOmegaSST.boundRepair,enter,23248808331,40000000000,28634178675
62,-1,0,kOmegaSST.boundRepair,exit,23248808331,40000000000,28634178675
63,-1,2,kOmegaSST.kEqn.before,point,23248808331,40000000000,28634178675
64,-1,2,PDE.solveImpl.beforeAssemble,point,23248808331,40000000000,28634178675
65,-1,2,PDE.solveImpl.afterAssemble,point,23248808331,40000000000,28634178675
66,-1,2,PDE.solveImpl.beforeSolve,point,23248808331,40000000000,28634178675
67,-1,2,PDE.solveImpl.afterSolve,point,23248808331,40000000000,28634178675
68,-1,2,kOmegaSST.kEqn.after,point,23248808331,40000000000,28634178675
69,-1,2,kOmegaSST.correct,exit,23248808331,40000000000,28634178675
70,2,2,after-turb,point,23248808331,40000000000,28634178675
71,2,2,timeStep,exit,23248808331,40000000000,28634178675
72,3,3,timeStep,enter,23248808331,40000000000,28634178675
73,3,3,step-start,point,23248808331,40000000000,28634178675
74,3,3,momentumSolve,enter,23248808331,40000000000,28634178675
75,-1,3,PDE.solveRhs.afterAssemble,point,23248808331,40000000000,28634178675
76,-1,3,PDE.solveRhs.afterSavedRhs,point,23640816915,40000000000,28634178675
77,-1,3,PDE.solveRhs.beforeSolve,point,23640816915,40000000000,28634178675
78,-1,3,PDE.solveRhs.afterSolve,point,23640816915,40000000000,28634178675
79,3,3,momentumSolve,exit,23248808331,40000000000,28634178675
80,3,3,after-UEqn,point,23248808331,40000000000,28634178675
81,3,3,pEqn,enter,25294360027,40000000000,28634178675
82,-1,3,PDE.solveImpl.beforeAssemble,point,25294360027,40000000000,28634178675
83,-1,3,PDE.solveImpl.afterAssemble,point,25294360027,40000000000,28634178675
84,-1,3,PDE.solveImpl.beforeSolve,point,25294360027,40000000000,28634178675
