event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x42d7a20,A1,14035168
1,0.063547,0x2dbde70,A0,14100464
2,0.740126,0x42d7a20,A1,28070336
3,0.773412,0x2dbde70,A0,28200928
4,1.424547,0x42d7a20,A1,70175840
5,1.459314,0x2dbde70,A0,70502320
6,3.245689,0x42d7a20,A1,112281344
7,3.305811,0x2dbde70,A0,112803712
8,5.128856,0x42d7a20,A1,126316512
9,5.179325,0x2dbde70,A0,126904176
10,5.751652,0x42d7a20,A1,168422016
11,5.816100,0x2dbde70,A0,169205568
12,7.560948,0x42d7a20,A1,210527520
13,7.694942,0x2dbde70,A0,211506960
14,9.373608,0x42d7a20,A1,252633024
15,9.591177,0x2dbde70,A0,253808352
16,11.258117,0x42d7a20,A1,259650608
17,11.527087,0x2dbde70,A0,260858584
18,11.603251,0x42d7a20,A1,266668192
19,11.657776,0x42d7a20,A1,308773696
20,11.693035,0x42d7a20,A1,350879200
21,11.727853,0x42d7a20,A1,392984704
22,11.766065,0x42d7a20,A1,407019872
23,11.786593,0x42d7a20,A1,449125376
24,11.789237,0x2dbde70,A0,267908816
25,11.821381,0x42d7a20,A1,491230880
26,11.828561,0x2dbde70,A0,310210208
27,11.854957,0x42d7a20,A1,505266048
28,11.863739,0x2dbde70,A0,352511600
29,11.873743,0x42d7a20,A1,519301216
30,11.899859,0x2dbde70,A0,394812992
31,11.917043,0x42d7a20,A1,519301216
32,11.936429,0x2dbde70,A0,408913456
33,11.956587,0x2dbde70,A0,451214848
34,11.989542,0x2dbde70,A0,493516240
35,12.023479,0x2dbde70,A0,507616704
36,12.043276,0x2dbde70,A0,521717168
37,12.080597,0x2dbde70,A0,521717168
38,12.875219,0x42f0660,A2,11422632
39,13.350412,0x42f0660,A2,22845264
40,13.746937,0x42f0660,A2,57113160
41,14.789910,0x42f0660,A2,91381056
42,15.298939,0x42832b0,A3,10897976
43,15.797614,0x42832b0,A3,21795952
44,15.970051,0x42f0660,A2,102803688
45,16.239521,0x42832b0,A3,54489880
46,16.255684,0x42d7a20,A1,519632776
47,16.287547,0x2dbde70,A0,522057740
48,16.300325,0x42d7a20,A1,519964336
49,16.333651,0x2dbde70,A0,522398312
50,16.404979,0x42f0660,A2,137071584
51,16.414282,0x42d7a20,A1,519632776
52,16.422012,0x2dbde70,A0,522057740
53,16.465332,0x42d7a20,A1,512615192
54,16.465502,0x2dbde70,A0,515007508
55,16.469898,0x2dbde70,A0,472706116
56,16.469968,0x42d7a20,A1,470509688
57,16.471310,0x42d7a20,A1,428404184
58,16.471500,0x2dbde70,A0,430404724
59,16.472572,0x42d7a20,A1,386298680
60,16.473383,0x2dbde70,A0,388103332
61,16.475606,0x2dbde70,A0,374002868
62,16.475666,0x42d7a20,A1,372263512
63,16.476317,0x42d7a20,A1,330158008
64,16.476667,0x2dbde70,A0,331701476
65,16.476777,0x42d7a20,A1,288052504
66,16.477258,0x42d7a20,A1,274017336
67,16.477268,0x2dbde70,A0,289400084
68,16.477939,0x2dbde70,A0,275299620
69,16.478139,0x42d7a20,A1,259982168
70,16.478880,0x2dbde70,A0,261199156
71,16.486541,0x2dbde70,A0,268249388
72,16.486671,0x42d7a20,A1,266999752
73,16.510354,0x42d7a20,A1,309105256
74,16.511085,0x2dbde70,A0,310550780
75,16.544941,0x42d7a20,A1,351210760
76,16.545462,0x2dbde70,A0,352852172
