seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
428,-1,13,PDE.solveImpl.afterAssemble,point,21151844627,40000000000,24834343603
429,-1,13,PDE.solveImpl.beforeSolve,point,21151844627,40000000000,24834343603
430,-1,13,PDE.solveImpl.afterSolve,point,21151844627,40000000000,24834343603
431,-1,13,kOmegaSST.omegaEqn.after,point,21151844627,40000000000,24834343603
432,-1,13,kOmegaSST.kEqn.before,point,20235074179,40000000000,24834343603
433,-1,13,PDE.solveImpl.beforeAssemble,point,20235074179,40000000000,24834343603
434,-1,13,PDE.solveImpl.afterAssemble,point,20235074179,40000000000,24834343603
435,-1,13,PDE.solveImpl.beforeSolve,point,20235074179,40000000000,24834343603
436,-1,13,PDE.solveImpl.afterSolve,point,20235074179,40000000000,24834343603
437,-1,13,kOmegaSST.kEqn.after,point,20235074179,40000000000,24834343603
438,-1,13,kOmegaSST.correct,exit,19448973259,40000000000,24834343603
439,13,13,after-turb,point,19448973259,40000000000,24834343603
440,13,13,timeStep,exit,19448973259,40000000000,24834343603
441,14,14,timeStep,enter,19448973259,40000000000,24834343603
442,14,14,step-start,point,19448973259,40000000000,24834343603
443,14,14,momentumSolve,enter,19448973259,40000000000,24834343603
444,-1,14,PDE.solveRhs.afterAssemble,point,19448973259,40000000000,24834343603
445,-1,14,PDE.solveRhs.afterSavedRhs,point,19840981843,40000000000,24834343603
446,-1,14,PDE.solveRhs.beforeSolve,point,19840981843,40000000000,24834343603
447,-1,14,PDE.solveRhs.afterSolve,point,19840981843,40000000000,24834343603
448,14,14,momentumSolve,exit,19448973259,40000000000,24834343603
449,14,14,after-UEqn,point,19448973259,40000000000,24834343603
450,14,14,pEqn,enter,21494524955,40000000000,24834343603
451,-1,14,PDE.solveImpl.beforeAssemble,point,21494524955,40000000000,24834343603
452,-1,14,PDE.solveImpl.afterAssemble,point,21494524955,40000000000,24834343603
453,-1,14,PDE.solveImpl.beforeSolve,point,21494524955,40000000000,24834343603
454,-1,14,PDE.solveImpl.afterSolve,point,21494524955,40000000000,24834343603
455,14,14,pEqn,exit,21494524955,40000000000,24834343603
456,14,14,after-pEqn,point,19448973259,40000000000,24834343603
457,-1,14,kOmegaSST.correct,enter,19448973259,40000000000,24834343603
458,-1,14,kOmegaSST.afterGradients,point,21147677123,40000000000,24834343603
459,-1,14,kOmegaSST.omegaEqn.before,point,21151844627,40000000000,24834343603
460,-1,14,PDE.solveImpl.beforeAssemble,point,21151844627,40000000000,24834343603
461,-1,14,PDE.solveImpl.afterAssemble,point,21151844627,40000000000,24834343603
462,-1,14,PDE.solveImpl.beforeSolve,point,21151844627,40000000000,24834343603
463,-1,14,PDE.solveImpl.afterSolve,point,21151844627,40000000000,24834343603
464,-1,14,kOmegaSST.omegaEqn.after,point,21151844627,40000000000,24834343603
465,-1,14,kOmegaSST.kEqn.before,point,20235074179,40000000000,24834343603
466,-1,14,PDE.solveImpl.beforeAssemble,point,20235074179,40000000000,24834343603
467,-1,14,PDE.solveImpl.afterAssemble,point,20235074179,40000000000,24834343603
468,-1,14,PDE.solveImpl.beforeSolve,point,20235074179,40000000000,24834343603
469,-1,14,PDE.solveImpl.afterSolve,point,20235074179,40000000000,24834343603
470,-1,14,kOmegaSST.kEqn.after,point,20235074179,40000000000,24834343603
471,-1,14,kOmegaSST.correct,exit,19448973259,40000000000,24834343603
472,14,14,after-turb,point,19448973259,40000000000,24834343603
473,14,14,timeStep,exit,19448973259,40000000000,24834343603
474,15,15,timeStep,enter,19448973259,40000000000,24834343603
475,15,15,step-start,point,19448973259,40000000000,24834343603
476,15,15,momentumSolve,enter,19448973259,40000000000,24834343603
477,-1,15,PDE.solveRhs.afterAssemble,point,19448973259,40000000000,24834343603
478,-1,15,PDE.solveRhs.afterSavedRhs,point,19840981843,40000000000,24834343603
479,-1,15,PDE.solveRhs.beforeSolve,point,19840981843,40000000000,24834343603
480,-1,15,PDE.solveRhs.afterSolve,point,19840981843,40000000000,24834343603
481,15,15,momentumSolve,exit,19448973259,40000000000,24834343603
482,15,15,after-UEqn,point,19448973259,40000000000,24834343603
483,15,15,pEqn,enter,21494524955,40000000000,24834343603
484,-1,15,PDE.solveImpl.beforeAssemble,point,21494524955,40000000000,24834343603
485,-1,15,PDE.solveImpl.afterAssemble,point,21494524955,40000000000,24834343603
486,-1,15,PDE.solveImpl.beforeSolve,point,21494524955,40000000000,24834343603
487,-1,15,PDE.solveImpl.afterSolve,point,21494524955,40000000000,24834343603
488,15,15,pEqn,exit,21494524955,40000000000,24834343603
489,15,15,after-pEqn,point,19448973259,40000000000,24834343603
490,-1,15,kOmegaSST.correct,enter,19448973259,40000000000,24834343603
491,-1,15,kOmegaSST.afterGradients,point,21147677123,40000000000,24834343603
492,-1,15,kOmegaSST.omegaEqn.before,point,21151844627,40000000000,24834343603
493,-1,15,PDE.solveImpl.beforeAssemble,point,21151844627,40000000000,24834343603
494,-1,15,PDE.solveImpl.afterAssemble,point,21151844627,40000000000,24834343603
495,-1,15,PDE.solveImpl.beforeSolve,point,21151844627,40000000000,24834343603
496,-1,15,PDE.solveImpl.afterSolve,point,21151844627,40000000000,24834343603
497,-1,15,kOmegaSST.omegaEqn.after,point,21151844627,40000000000,24834343603
498,-1,15,kOmegaSST.kEqn.before,point,20235074179,40000000000,24834343603
499,-1,15,PDE.solveImpl.beforeAssemble,point,20235074179,40000000000,24834343603
500,-1,15,PDE.solveImpl.afterAssemble,point,20235074179,40000000000,24834343603
501,-1,15,PDE.solveImpl.beforeSolve,point,20235074179,40000000000,24834343603
502,-1,15,PDE.solveImpl.afterSolve,point,20235074179,40000000000,24834343603
503,-1,15,kOmegaSST.kEqn.after,point,20235074179,40000000000,24834343603
504,-1,15,kOmegaSST.correct,exit,19448973259,40000000000,24834343603
505,15,15,after-turb,point,19448973259,40000000000,24834343603
506,15,15,timeStep,exit,19448973259,40000000000,24834343603
507,16,16,timeStep,enter,19448973259,40000000000,24834343603
508,16,16,step-start,point,19448973259,40000000000,24834343603
509,16,16,momentumSolve,enter,19448973259,40000000000,24834343603
510,-1,16,PDE.solveRhs.afterAssemble,point,19448973259,40000000000,24834343603
511,-1,16,PDE.solveRhs.afterSavedRhs,point,19840981843,40000000000,24834343603
512,-1,16,PDE.solveRhs.beforeSolve,point,19840981843,40000000000,24834343603
513,-1,16,PDE.solveRhs.afterSolve,point,19840981843,40000000000,24834343603
514,16,16,momentumSolve,exit,19448973259,40000000000,24834343603
515,16,16,after-UEqn,point,19448973259,40000000000,24834343603
516,16,16,pEqn,enter,21494524955,40000000000,24834343603
517,-1,16,PDE.solveImpl.beforeAssemble,point,21494524955,40000000000,24834343603
518,-1,16,PDE.solveImpl.afterAssemble,point,21494524955,40000000000,24834343603
519,-1,16,PDE.solveImpl.beforeSolve,point,21494524955,40000000000,24834343603
520,-1,16,PDE.solveImpl.afterSolve,point,21494524955,40000000000,24834343603
521,16,16,pEqn,exit,21494524955,40000000000,24834343603
522,16,16,after-pEqn,point,19448973259,40000000000,24834343603
523,-1,16,kOmegaSST.correct,enter,19448973259,40000000000,24834343603
524,-1,16,kOmegaSST.afterGradients,point,21147677123,40000000000,24834343603
525,-1,16,kOmegaSST.omegaEqn.before,point,21151844627,40000000000,24834343603
526,-1,16,PDE.solveImpl.beforeAssemble,point,21151844627,40000000000,24834343603
527,-1,16,PDE.solveImpl.afterAssemble,point,21151844627,40000000000,24834343603
528,-1,16,PDE.solveImpl.beforeSolve,point,21151844627,40000000000,24834343603
529,-1,16,PDE.solveImpl.afterSolve,point,21151844627,40000000000,24834343603
530,-1,16,kOmegaSST.omegaEqn.after,point,21151844627,40000000000,24834343603
