event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x32d7600,A1,14035168
1,0.722533,0x32d7600,A1,28070336
2,1.270177,0x32d7600,A1,70175840
3,2.724136,0x32d7600,A1,112281344
4,4.103644,0x32d7600,A1,126316512
5,4.559721,0x32d7600,A1,168422016
6,5.847743,0x32d7600,A1,210527520
7,7.098593,0x32d7600,A1,252633024
8,8.336336,0x4a98f00,A0,14100464
9,8.359448,0x32d7600,A1,259650608
10,8.901753,0x4a98f00,A0,28200928
11,9.341358,0x4a98f00,A0,70502320
12,9.783937,0x32d7600,A1,266668192
13,9.839713,0x32d7600,A1,308773696
14,9.877776,0x32d7600,A1,350879200
15,9.916089,0x32d7600,A1,392984704
16,9.957385,0x32d7600,A1,407019872
17,9.979746,0x32d7600,A1,449125376
18,10.016787,0x32d7600,A1,491230880
19,10.058765,0x32d7600,A1,505266048
20,10.080445,0x32d7600,A1,519301216
21,10.125226,0x32d7600,A1,519301216
22,10.577028,0x4a98f00,A0,112803712
23,10.871803,0x3bc56b0,A2,11422632
24,11.412066,0x3bc56b0,A2,22845264
25,11.877767,0x3bc56b0,A2,57113160
26,12.028995,0x4a98f00,A0,126904176
27,12.620188,0x4a98f00,A0,169205568
28,13.202869,0x3bc56b0,A2,91381056
29,14.112621,0x44fc360,A3,10897976
30,14.314018,0x4a98f00,A0,211506960
31,14.567036,0x32d7600,A1,519632776
32,14.574165,0x3bc56b0,A2,102803688
33,14.621961,0x32d7600,A1,519964336
34,14.759030,0x32d7600,A1,519632776
35,14.800026,0x44fc360,A3,21795952
36,14.816549,0x32d7600,A1,512615192
37,14.821325,0x32d7600,A1,470509688
38,14.823018,0x32d7600,A1,428404184
39,14.824830,0x32d7600,A1,386298680
40,14.828225,0x32d7600,A1,372263512
41,14.829126,0x32d7600,A1,330158008
42,14.829847,0x32d7600,A1,288052504
43,14.830558,0x32d7600,A1,274017336
44,14.831940,0x32d7600,A1,259982168
45,14.844868,0x32d7600,A1,266999752
46,14.872065,0x32d7600,A1,309105256
47,14.908746,0x32d7600,A1,351210760
48,14.944465,0x32d7600,A1,393316264
49,14.982587,0x32d7600,A1,407351432
50,15.007131,0x32d7600,A1,449456936
51,15.042890,0x32d7600,A1,491562440
52,15.079360,0x32d7600,A1,505597608
53,15.136849,0x32d7600,A1,519632776
54,15.159450,0x32d7600,A1,519964336
55,15.162855,0x3bc56b0,A2,137071584
56,15.195250,0x32d7600,A1,717298284
57,15.453094,0x44fc360,A3,54489880
58,16.997639,0x4a98f00,A0,253808352
59,17.633503,0x3bc56b0,A2,171339480
60,17.888614,0x44fc360,A3,87183808
61,20.140822,0x3bc56b0,A2,205607376
62,20.156373,0x4a98f00,A0,260858584
63,20.299330,0x44fc360,A3,98081784
64,21.030676,0x4a98f00,A0,267908816
65,21.038927,0x44fc360,A3,130775712
66,21.249126,0x4a98f00,A0,310210208
67,21.290443,0x4a98f00,A0,352511600
