event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x3d67a20,A1,14035168
1,0.774484,0x3d67a20,A1,28070336
2,1.289482,0x3d67a20,A1,70175840
3,2.824701,0x3d67a20,A1,112281344
4,4.169479,0x3d67a20,A1,126316512
5,4.657279,0x3d67a20,A1,168422016
6,4.840871,0x487ef70,A0,14100464
7,5.574449,0x487ef70,A0,28200928
8,6.210613,0x487ef70,A0,70502320
9,6.264237,0x3d67a20,A1,210527520
10,8.019328,0x487ef70,A0,112803712
11,8.047757,0x3d67a20,A1,252633024
12,9.871864,0x3d67a20,A1,259650608
13,9.879955,0x487ef70,A0,126904176
14,10.225900,0x3d67a20,A1,266668192
15,10.282708,0x3d67a20,A1,308773696
16,10.319128,0x3d67a20,A1,350879200
17,10.355478,0x3d67a20,A1,392984704
18,10.395393,0x3d67a20,A1,407019872
19,10.416231,0x3d67a20,A1,449125376
20,10.450929,0x3d67a20,A1,491230880
21,10.455015,0x487ef70,A0,169205568
22,10.484996,0x3d67a20,A1,505266048
23,10.504192,0x3d67a20,A1,519301216
24,10.554391,0x3d67a20,A1,519301216
25,11.789969,0x487ef70,A0,211506960
26,13.118324,0x487ef70,A0,253808352
27,14.495136,0x487ef70,A0,260858584
28,14.749265,0x487ef70,A0,267908816
29,14.801416,0x487ef70,A0,310210208
30,14.837796,0x487ef70,A0,352511600
31,14.872704,0x487ef70,A0,394812992
32,14.912239,0x487ef70,A0,408913456
33,14.933067,0x487ef70,A0,451214848
34,14.966173,0x487ef70,A0,493516240
35,14.968796,0x3d67a20,A1,519632776
36,14.999829,0x487ef70,A0,507616704
37,15.007810,0x3d67a20,A1,519964336
38,15.020247,0x487ef70,A0,521717168
39,15.065039,0x487ef70,A0,521717168
40,15.116219,0x3d67a20,A1,519632776
41,15.163764,0x3d67a20,A1,512615192
42,15.168591,0x3d67a20,A1,470509688
43,15.169973,0x3d67a20,A1,428404184
44,15.171024,0x3d67a20,A1,386298680
45,15.173858,0x3d67a20,A1,372263512
46,15.174509,0x3d67a20,A1,330158008
47,15.174990,0x3d67a20,A1,288052504
48,15.175460,0x3d67a20,A1,274017336
49,15.176201,0x3d67a20,A1,259982168
50,15.184983,0x3d67a20,A1,266999752
51,15.206423,0x3d67a20,A1,309105256
52,15.240239,0x3d67a20,A1,351210760
53,15.274757,0x3d67a20,A1,393316264
54,15.309394,0x3d67a20,A1,407351432
55,15.329432,0x3d67a20,A1,449456936
56,15.364931,0x3d67a20,A1,491562440
57,15.397846,0x3d67a20,A1,505597608
58,15.448115,0x3d67a20,A1,519632776
59,15.467872,0x3d67a20,A1,519964336
60,15.488721,0x3d67a20,A1,717298284
61,19.036886,0x4aa4660,A2,11422632
62,19.253563,0x487ef70,A0,522057740
63,19.302951,0x487ef70,A0,522398312
64,19.446028,0x487ef70,A0,522057740
65,19.508804,0x487ef70,A0,515007508
66,19.514982,0x487ef70,A0,472706116
67,19.518948,0x487ef70,A0,430404724
68,19.520140,0x487ef70,A0,388103332
69,19.527079,0x487ef70,A0,374002868
70,19.528831,0x487ef70,A0,331701476
71,19.529773,0x487ef70,A0,289400084
72,19.530303,0x487ef70,A0,275299620
73,19.531045,0x487ef70,A0,261199156
74,19.539436,0x487ef70,A0,268249388
75,19.563749,0x487ef70,A0,310550780
76,19.598147,0x487ef70,A0,352852172
77,19.633665,0x487ef70,A0,395153564
78,19.653062,0x4aa4660,A2,22845264
79,19.670126,0x487ef70,A0,409254028
80,19.691675,0x487ef70,A0,451555420
81,19.726813,0x487ef70,A0,493856812
82,19.761341,0x487ef70,A0,507957276
83,19.819531,0x487ef70,A0,522057740
84,19.840900,0x487ef70,A0,522398312
85,19.864192,0x487ef70,A0,719681840
86,20.278531,0x4aa4660,A2,57113160
87,21.092890,0x3c32370,A3,10897976
88,21.842280,0x3c32370,A3,21795952
89,22.353893,0x4aa4660,A2,91381056
90,22.627939,0x3c32370,A3,54489880
91,23.939541,0x3d67a20,A1,921649816
92,24.634566,0x4aa4660,A2,102803688
93,24.866896,0x3c32370,A3,87183808
94,25.473339,0x4aa4660,A2,137071584
95,27.127181,0x3c32370,A3,98081784
96,27.730710,0x4aa4660,A2,171339480
97,29.527809,0x3c32370,A3,130775712
98,29.729877,0x4aa4660,A2,205607376
99,31.740419,0x3c32370,A3,163469640
100,32.065256,0x4aa4660,A2,211318692
101,32.385165,0x487ef70,A0,924015600
102,32.515464,0x4aa4660,A2,217030008
103,32.569579,0x4aa4660,A2,251297904
104,32.601122,0x4aa4660,A2,285565800
105,32.632395,0x4aa4660,A2,319833696
106,32.667974,0x4aa4660,A2,331256328
107,32.691766,0x4aa4660,A2,365524224
108,32.721177,0x4aa4660,A2,399792120
109,32.750237,0x4aa4660,A2,411214752
110,32.768612,0x4aa4660,A2,422637384
111,32.816688,0x4aa4660,A2,422637384
112,33.684050,0x3c32370,A3,196163568
113,35.498332,0x3c32370,A3,201612556
114,36.067194,0x3d67a20,A1,1330352880
115,36.850030,0x3c32370,A3,207061544
116,37.065416,0x3c32370,A3,239755472
117,37.098201,0x3c32370,A3,272449400
118,37.131026,0x3c32370,A3,305143328
119,37.168908,0x3c32370,A3,316041304
120,37.188234,0x3c32370,A3,348735232
