event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x3ed2570,A1,14035168
1,0.690569,0x3ed2570,A1,28070336
2,1.278106,0x3ed2570,A1,70175840
3,3.011759,0x3ed2570,A1,112281344
4,4.551715,0x3ed2570,A1,126316512
5,5.062837,0x3ed2570,A1,168422016
6,6.625975,0x3ed2570,A1,210527520
7,8.053957,0x3ed2570,A1,252633024
8,9.338432,0x3ed2570,A1,259650608
9,9.596256,0x3ed2570,A1,266668192
10,9.653775,0x3ed2570,A1,308773696
11,9.690686,0x3ed2570,A1,350879200
12,9.729339,0x3ed2570,A1,392984704
13,9.769885,0x3ed2570,A1,407019872
14,9.792206,0x3ed2570,A1,449125376
15,9.832241,0x3ed2570,A1,491230880
16,9.870032,0x3ed2570,A1,505266048
17,9.891382,0x3ed2570,A1,519301216
18,9.952005,0x3ed2570,A1,519301216
19,14.111961,0x3ed2570,A1,519632776
20,14.156933,0x3ed2570,A1,519964336
21,14.263610,0x3ed2570,A1,519632776
22,14.304125,0x3ed2570,A1,512615192
23,14.307770,0x3ed2570,A1,470509688
24,14.309543,0x3ed2570,A1,428404184
25,14.310554,0x3ed2570,A1,386298680
26,14.312487,0x3ed2570,A1,372263512
27,14.313188,0x3ed2570,A1,330158008
28,14.313699,0x3ed2570,A1,288052504
29,14.314239,0x3ed2570,A1,274017336
30,14.315501,0x3ed2570,A1,259982168
31,14.325084,0x3ed2570,A1,266999752
32,14.350239,0x3ed2570,A1,309105256
33,14.386499,0x3ed2570,A1,351210760
34,14.421757,0x3ed2570,A1,393316264
35,14.458678,0x3ed2570,A1,407351432
36,14.481389,0x3ed2570,A1,449456936
37,14.516768,0x3ed2570,A1,491562440
38,14.553518,0x3ed2570,A1,505597608
39,14.599601,0x3ed2570,A1,519632776
40,14.620851,0x3ed2570,A1,519964336
41,14.644483,0x3ed2570,A1,717298284
42,14.923476,0x3409e00,A0,14100464
43,14.981666,0x3ecc570,A2,11422632
44,15.770701,0x3ecc570,A2,22845264
45,15.838734,0x3409e00,A0,28200928
46,16.413334,0x3ecc570,A2,57113160
47,16.642739,0x3409e00,A0,70502320
48,18.496276,0x3d7d280,A3,10897976
49,18.582304,0x3ecc570,A2,91381056
50,19.344962,0x3d7d280,A3,21795952
51,19.361094,0x3409e00,A0,112803712
52,20.111696,0x3d7d280,A3,54489880
53,20.796126,0x3ecc570,A2,102803688
54,21.648047,0x3ecc570,A2,137071584
55,22.240651,0x3409e00,A0,126904176
56,22.332327,0x3d7d280,A3,87183808
57,23.211115,0x3409e00,A0,169205568
58,23.890829,0x3ecc570,A2,171339480
59,24.493116,0x3d7d280,A3,98081784
60,25.225573,0x3d7d280,A3,130775712
61,26.037298,0x3409e00,A0,211506960
62,26.139709,0x3ecc570,A2,205607376
63,26.531477,0x3ed2570,A1,921649816
64,27.376058,0x3d7d280,A3,163469640
65,28.446168,0x3ecc570,A2,211318692
66,28.868478,0x3409e00,A0,253808352
67,28.880545,0x3ecc570,A2,217030008
68,28.939266,0x3ecc570,A2,251297904
69,28.974034,0x3ecc570,A2,285565800
70,29.007960,0x3ecc570,A2,319833696
71,29.046463,0x3ecc570,A2,331256328
72,29.068103,0x3ecc570,A2,365524224
73,29.112063,0x3ecc570,A2,399792120
74,29.144458,0x3ecc570,A2,411214752
75,29.165657,0x3ecc570,A2,422637384
76,29.210348,0x3ecc570,A2,422637384
77,29.376316,0x3d7d280,A3,196163568
78,31.106624,0x3409e00,A0,260858584
79,31.127883,0x3d7d280,A3,201612556
80,31.473939,0x3d7d280,A3,207061544
81,31.504951,0x3409e00,A0,267908816
82,31.678059,0x3d7d280,A3,239755472
83,31.838299,0x3409e00,A0,310210208
84,32.004458,0x3d7d280,A3,272449400
85,32.188160,0x3409e00,A0,352511600
86,32.364953,0x3d7d280,A3,305143328
87,32.549887,0x3409e00,A0,394812992
88,32.734421,0x3d7d280,A3,316041304
89,32.913777,0x3409e00,A0,408913456
90,33.080837,0x3d7d280,A3,348735232
91,33.244161,0x3409e00,A0,451214848
92,33.419692,0x3d7d280,A3,381429160
93,33.602534,0x3409e00,A0,493516240
94,33.617684,0x3ecc570,A2,423075328
95,33.673181,0x3ecc570,A2,423513272
96,33.781039,0x3d7d280,A3,392327136
97,33.795318,0x3ecc570,A2,423075328
98,33.846098,0x3ecc570,A2,417364012
99,33.850184,0x3ecc570,A2,383096116
100,33.852147,0x3ecc570,A2,348828220
101,33.853579,0x3ecc570,A2,314560324
102,33.857073,0x3ecc570,A2,303137692
103,33.857714,0x3ecc570,A2,268869796
104,33.858425,0x3ecc570,A2,234601900
105,33.859336,0x3ecc570,A2,223179268
106,33.860328,0x3ecc570,A2,211756636
107,33.871754,0x3ecc570,A2,217467952
108,33.895496,0x3ecc570,A2,251735848
109,33.927270,0x3ecc570,A2,286003744
110,33.959935,0x3ecc570,A2,320271640
111,33.963530,0x3409e00,A0,507616704
112,33.993150,0x3ecc570,A2,331694272
113,34.014139,0x3ecc570,A2,365962168
114,34.045582,0x3ecc570,A2,400230064
115,34.082293,0x3ecc570,A2,411652696
116,34.131681,0x3d7d280,A3,403225112
117,34.136237,0x3ecc570,A2,423075328
118,34.157376,0x3ecc570,A2,423513272
119,34.186967,0x3ecc570,A2,620559440
120,34.299221,0x3409e00,A0,521717168
121,34.486598,0x3d7d280,A3,403225112
122,34.647119,0x3409e00,A0,521717168
123,34.915007,0x3ed2570,A1,1330352880
124,39.080401,0x3d7d280,A3,403668620
125,39.150968,0x3d7d280,A3,404112128
126,39.403375,0x3d7d280,A3,403668620
127,39.466982,0x3d7d280,A3,398219632
128,39.473020,0x3d7d280,A3,365525704
129,39.474803,0x3d7d280,A3,332831776
130,39.476335,0x3d7d280,A3,300137848
131,39.479650,0x3d7d280,A3,289239872
132,39.480891,0x3d7d280,A3,256545944
133,39.481913,0x3d7d280,A3,223852016
134,39.482604,0x3d7d280,A3,212954040
135,39.483815,0x3d7d280,A3,202056064
136,39.501099,0x3d7d280,A3,207505052
137,39.537359,0x3d7d280,A3,240198980
138,39.570484,0x3d7d280,A3,272892908
139,39.603770,0x3d7d280,A3,305586836
140,39.641712,0x3d7d280,A3,316484812
141,39.663682,0x3d7d280,A3,349178740
142,39.694745,0x3d7d280,A3,381872668
143,39.730394,0x3d7d280,A3,392770644
144,39.784769,0x3d7d280,A3,403668620
145,39.807099,0x3d7d280,A3,404112128
146,39.843880,0x3d7d280,A3,601084628
147,40.114031,0x3409e00,A0,522057740
148,40.196364,0x3409e00,A0,522398312
149,40.481506,0x3409e00,A0,522057740
150,40.540637,0x3409e00,A0,515007508
151,40.545053,0x3409e00,A0,472706116
152,40.547176,0x3409e00,A0,430404724
153,40.549670,0x3409e00,A0,388103332
154,40.553235,0x3409e00,A0,374002868
155,40.554426,0x3409e00,A0,331701476
156,40.556770,0x3409e00,A0,289400084
157,40.558802,0x3409e00,A0,275299620
158,40.560655,0x3409e00,A0,261199156
159,40.573182,0x3409e00,A0,268249388
160,40.602973,0x3409e00,A0,310550780
161,40.640905,0x3409e00,A0,352852172
162,40.677706,0x3409e00,A0,395153564
163,40.722918,0x3409e00,A0,409254028
164,40.750426,0x3409e00,A0,451555420
165,40.788418,0x3409e00,A0,493856812
166,40.825559,0x3409e00,A0,507957276
167,40.874696,0x3409e00,A0,522057740
168,40.896647,0x3409e00,A0,522398312
169,40.931695,0x3409e00,A0,719681840
170,45.906040,0x3ecc570,A2,823316924
171,53.637604,0x3d7d280,A3,803506116
172,54.905036,0x3409e00,A0,924015600
173,59.425838,0x3ecc570,A2,1228831892
174,60.969589,0x3ed2570,A1,2556462072
175,67.066357,0x3d7d280,A3,1208349092
176,68.602808,0x3409e00,A0,1332683120
177,87.596447,0x3ecc570,A2,2445376796
178,95.984784,0x3d7d280,A3,2422878020
179,97.763458,0x3409e00,A0,2558685680
180,143.941001,0x3ed2570,A1,3782571264
181,169.320666,0x3ecc570,A2,3661921700
182,179.002329,0x3d7d280,A3,3637406948
183,182.475161,0x3409e00,A0,3784688240
184,230.757687,0x3ed2570,A1,4174579848
185,254.348924,0x3ecc570,A2,4053930284
186,256.546444,0x3ed2570,A1,4305249376
187,263.186908,0x3d7d280,A3,4029415556
188,267.878245,0x3409e00,A0,4176696824
189,279.197008,0x3ecc570,A2,4184599812
190,287.372322,0x3d7d280,A3,4160085092
191,291.952616,0x3409e00,A0,4307366352
192,375.585637,0x3ed2570,A1,4435918904
193,375.711029,0x3ed2570,A1,4827927488
194,375.927607,0x3ed2570,A1,6054036680
195,376.551324,0x3ed2570,A1,7280145872
196,377.185185,0x3ed2570,A1,7688848936
197,377.404126,0x3ed2570,A1,7893200468
198,377.523850,0x3ed2570,A1,8090534416
199,377.644376,0x3ed2570,A1,8097552000
200,377.662691,0x3ed2570,A1,8139657504
201,377.839214,0x3ed2570,A1,8181763008
202,377.921537,0x3ed2570,A1,8223868512
203,377.962833,0x3ed2570,A1,8237903680
204,377.985895,0x3ed2570,A1,8280009184
205,378.021384,0x3ed2570,A1,8322114688
206,378.056262,0x3ed2570,A1,8336149856
207,378.082868,0x3ed2570,A1,8350185024
208,378.106671,0x3ed2570,A1,8350516584
209,390.501823,0x3ecc570,A2,4315269340
210,390.599087,0x3ecc570,A2,4707277924
211,390.812841,0x3ecc570,A2,5923822828
212,391.423690,0x3ecc570,A2,7140367732
213,392.047457,0x3ecc570,A2,7545882700
214,392.261411,0x3ecc570,A2,7748640184
215,392.378442,0x3ecc570,A2,7945686352
216,392.494321,0x3ecc570,A2,7951397668
217,392.512657,0x3ecc570,A2,7985665564
218,392.644308,0x3ecc570,A2,8019933460
219,392.693355,0x3ecc570,A2,8054201356
220,392.727312,0x3ecc570,A2,8065623988
221,392.748481,0x3ecc570,A2,8099891884
222,392.779283,0x3ecc570,A2,8134159780
223,392.811838,0x3ecc570,A2,8145582412
224,392.832566,0x3ecc570,A2,8157005044
225,392.853555,0x3ecc570,A2,8157442988
226,394.511083,0x3d7d280,A3,4290754628
227,394.761887,0x3d7d280,A3,4682763236
228,394.975951,0x3d7d280,A3,5897292164
229,395.589775,0x3d7d280,A3,7111821092
230,396.215705,0x3d7d280,A3,7516664068
231,396.431261,0x3d7d280,A3,7719085556
232,396.548673,0x3d7d280,A3,7916058056
233,396.663550,0x3d7d280,A3,7921507044
234,396.681555,0x3d7d280,A3,7954200972
235,396.792247,0x3d7d280,A3,7986894900
236,396.827796,0x3d7d280,A3,8019588828
237,396.859069,0x3d7d280,A3,8030486804
238,396.881440,0x3d7d280,A3,8063180732
239,396.912432,0x3d7d280,A3,8095874660
240,396.943265,0x3d7d280,A3,8106772636
241,396.963633,0x3d7d280,A3,8117670612
242,396.984021,0x3d7d280,A3,8118114120
243,398.712135,0x3409e00,A0,4438035880
244,398.958684,0x3409e00,A0,4830044464
245,399.174521,0x3409e00,A0,6056047024
246,399.801222,0x3409e00,A0,7282049584
247,400.428173,0x3409e00,A0,7690717104
248,400.645482,0x3409e00,A0,7895050864
249,400.763354,0x3409e00,A0,8092334392
250,400.878843,0x3409e00,A0,8099384624
251,400.896677,0x3409e00,A0,8141686016
252,401.007830,0x3409e00,A0,8183987408
253,401.051640,0x3409e00,A0,8226288800
254,401.091305,0x3409e00,A0,8240389264
255,401.113976,0x3409e00,A0,8282690656
256,401.149735,0x3409e00,A0,8324992048
257,401.186946,0x3409e00,A0,8339092512
258,401.208486,0x3409e00,A0,8353192976
259,401.230406,0x3409e00,A0,8353533548
260,401.939680,0x3409e00,A0,8222864020
261,401.941082,0x3d7d280,A3,7987444584
262,401.944978,0x3ecc570,A2,8026773460
263,401.950025,0x3d7d280,A3,7595435976
264,401.950265,0x3409e00,A0,7830855436
265,401.951316,0x3d7d280,A3,6380907048
266,401.951887,0x3409e00,A0,6604852876
267,401.952238,0x3ecc570,A2,7634764876
268,401.952428,0x3ed2570,A1,8219847056
269,401.952728,0x3d7d280,A3,5166378120
270,401.953229,0x3409e00,A0,5378850316
271,401.953920,0x3ecc570,A2,6418219972
272,401.954180,0x3d7d280,A3,4761535144
273,401.954351,0x3409e00,A0,4970182796
274,401.955272,0x3ecc570,A2,5201675068
275,401.955763,0x3d7d280,A3,4559113656
276,401.955873,0x3409e00,A0,4765849036
277,401.956163,0x3ecc570,A2,4796160100
278,401.956844,0x3409e00,A0,4568565508
279,401.956884,0x3d7d280,A3,4362141156
280,401.957445,0x3ecc570,A2,4593402616
281,401.958657,0x3ecc570,A2,4396356448
282,401.959608,0x3ed2570,A1,7827838472
283,401.960990,0x3409e00,A0,4568224936
284,401.961100,0x3d7d280,A3,4361697648
285,401.961611,0x3ed2570,A1,6601729280
286,401.961991,0x3d7d280,A3,4350799672
287,401.962251,0x3409e00,A0,4554124472
288,401.962362,0x3ecc570,A2,4395918504
289,401.963633,0x3d7d280,A3,4339901696
290,401.963643,0x3409e00,A0,4540024008
291,401.963663,0x3ed2570,A1,5375620088
292,401.964014,0x3ecc570,A2,4384495872
293,401.964535,0x3ed2570,A1,4966917024
294,401.964615,0x3409e00,A0,4497722616
295,401.964675,0x3d7d280,A3,4307207768
296,401.965616,0x3ecc570,A2,4373073240
297,401.965666,0x3ed2570,A1,4762565492
298,401.965676,0x3d7d280,A3,4274513840
299,401.965836,0x3409e00,A0,4455421224
300,401.966527,0x3409e00,A0,4441320760
301,401.966537,0x3ecc570,A2,4338805344
302,401.966557,0x3d7d280,A3,4263615864
303,401.966808,0x3ed2570,A1,4565231544
