event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x3900690,A1,14035168
1,0.661529,0x3900690,A1,28070336
2,1.180472,0x3900690,A1,70175840
3,2.622373,0x3900690,A1,112281344
4,3.988861,0x3900690,A1,126316512
5,4.489499,0x3900690,A1,168422016
6,5.856287,0x3900690,A1,210527520
7,7.288605,0x3900690,A1,252633024
8,8.671194,0x3900690,A1,259650608
9,9.871083,0x3d66fc0,A0,14100464
10,10.172978,0x3900690,A1,266668192
11,10.232239,0x3900690,A1,308773696
12,10.267427,0x3900690,A1,350879200
13,10.303467,0x3900690,A1,392984704
14,10.344523,0x3900690,A1,407019872
15,10.365432,0x3900690,A1,449125376
16,10.401131,0x3900690,A1,491230880
17,10.437611,0x3900690,A1,505266048
18,10.457138,0x3900690,A1,519301216
19,10.508539,0x3d66fc0,A0,28200928
20,10.510351,0x3900690,A1,519301216
21,11.016607,0x3d66fc0,A0,70502320
22,12.405795,0x3d66fc0,A0,112803712
23,12.717634,0x37e4630,A2,11422632
24,13.311520,0x37e4630,A2,22845264
25,13.884096,0x37e4630,A2,57113160
26,14.069551,0x3d66fc0,A0,126904176
27,14.691416,0x3d66fc0,A0,169205568
28,15.200796,0x37e4630,A2,91381056
29,15.210068,0x3900690,A1,519632776
30,15.261789,0x3900690,A1,519964336
31,15.413308,0x3900690,A1,519632776
32,15.492136,0x3900690,A1,512615192
33,15.496782,0x3900690,A1,470509688
34,15.498244,0x3900690,A1,428404184
35,15.499736,0x3900690,A1,386298680
36,15.502460,0x3900690,A1,372263512
37,15.503141,0x3900690,A1,330158008
38,15.503712,0x3900690,A1,288052504
39,15.504242,0x3900690,A1,274017336
40,15.505124,0x3900690,A1,259982168
41,15.512694,0x3900690,A1,266999752
42,15.537909,0x3900690,A1,309105256
43,15.572256,0x3900690,A1,351210760
44,15.606273,0x3900690,A1,393316264
45,15.643494,0x3900690,A1,407351432
46,15.664312,0x3900690,A1,449456936
47,15.698810,0x3900690,A1,491562440
48,15.734649,0x3900690,A1,505597608
49,15.789945,0x3900690,A1,519632776
50,15.810203,0x3900690,A1,519964336
51,15.835788,0x3900690,A1,717298284
52,16.790159,0x3d66fc0,A0,211506960
53,16.979159,0x37e4630,A2,102803688
54,17.681384,0x37e4630,A2,137071584
55,19.442834,0x3d66fc0,A0,253808352
56,19.735466,0x37e4630,A2,171339480
57,21.754690,0x37e4630,A2,205607376
58,22.018132,0x3d66fc0,A0,260858584
59,22.339884,0x4497370,A3,10897976
60,22.548671,0x3d66fc0,A0,267908816
61,22.765249,0x3d66fc0,A0,310210208
62,22.801849,0x3d66fc0,A0,352511600
63,22.839541,0x3d66fc0,A0,394812992
64,22.882280,0x3d66fc0,A0,408913456
65,22.907584,0x3d66fc0,A0,451214848
66,22.942843,0x3d66fc0,A0,493516240
67,22.978422,0x3d66fc0,A0,507616704
68,23.000662,0x3d66fc0,A0,521717168
69,23.064911,0x3d66fc0,A0,521717168
70,23.131582,0x4497370,A3,21795952
71,23.747398,0x37e4630,A2,211318692
72,23.754548,0x4497370,A3,54489880
73,24.082609,0x37e4630,A2,217030008
74,24.132207,0x37e4630,A2,251297904
75,24.163380,0x37e4630,A2,285565800
76,24.194392,0x37e4630,A2,319833696
77,24.230983,0x37e4630,A2,331256328
78,24.250630,0x37e4630,A2,365524224
79,24.280641,0x37e4630,A2,399792120
80,24.314337,0x37e4630,A2,411214752
81,24.332853,0x37e4630,A2,422637384
82,24.382991,0x37e4630,A2,422637384
83,25.097954,0x4497370,A3,87183808
84,26.392703,0x4497370,A3,98081784
85,26.467355,0x3900690,A1,921649816
86,27.605749,0x3d66fc0,A0,522057740
87,27.648909,0x3d66fc0,A0,522398312
88,27.763566,0x3d66fc0,A0,522057740
89,27.824480,0x3d66fc0,A0,515007508
90,27.829116,0x3d66fc0,A0,472706116
91,27.830909,0x3d66fc0,A0,430404724
92,27.832020,0x3d66fc0,A0,388103332
93,27.836176,0x3d66fc0,A0,374002868
94,27.836897,0x3d66fc0,A0,331701476
95,27.837338,0x3d66fc0,A0,289400084
96,27.837748,0x3d66fc0,A0,275299620
97,27.838509,0x3d66fc0,A0,261199156
98,27.844798,0x3d66fc0,A0,268249388
99,27.869261,0x3d66fc0,A0,310550780
100,27.903979,0x3d66fc0,A0,352852172
101,27.939268,0x3d66fc0,A0,395153564
102,27.976589,0x3d66fc0,A0,409254028
103,27.997868,0x3d66fc0,A0,451555420
104,28.033327,0x3d66fc0,A0,493856812
105,28.067724,0x3d66fc0,A0,507957276
106,28.124702,0x3d66fc0,A0,522057740
107,28.145741,0x3d66fc0,A0,522398312
108,28.167501,0x3d66fc0,A0,719681840
109,28.556616,0x37e4630,A2,423075328
110,28.616338,0x37e4630,A2,423513272
111,28.739407,0x37e4630,A2,423075328
112,28.786462,0x4497370,A3,130775712
113,28.804997,0x37e4630,A2,417364012
114,28.809714,0x37e4630,A2,383096116
115,28.811166,0x37e4630,A2,348828220
116,28.812668,0x37e4630,A2,314560324
117,28.815742,0x37e4630,A2,303137692
118,28.816503,0x37e4630,A2,268869796
119,28.817084,0x37e4630,A2,234601900
120,28.817705,0x37e4630,A2,223179268
121,28.818486,0x37e4630,A2,211756636
122,28.829611,0x37e4630,A2,217467952
123,28.853864,0x37e4630,A2,251735848
124,28.884546,0x37e4630,A2,286003744
125,28.914768,0x37e4630,A2,320271640
126,28.946461,0x37e4630,A2,331694272
127,28.967070,0x37e4630,A2,365962168
128,28.996720,0x37e4630,A2,400230064
129,29.026722,0x37e4630,A2,411652696
130,29.080506,0x37e4630,A2,423075328
131,29.098931,0x37e4630,A2,423513272
132,29.127530,0x37e4630,A2,620559440
133,30.906324,0x4497370,A3,163469640
134,33.198864,0x4497370,A3,196163568
135,35.393119,0x4497370,A3,201612556
136,36.876798,0x4497370,A3,207061544
137,37.091623,0x4497370,A3,239755472
138,37.125840,0x4497370,A3,272449400
139,37.158795,0x4497370,A3,305143328
140,37.198630,0x4497370,A3,316041304
141,37.221231,0x4497370,A3,348735232
142,37.228701,0x3900690,A1,1330352880
143,37.252033,0x4497370,A3,381429160
144,37.284137,0x4497370,A3,392327136
145,37.302793,0x4497370,A3,403225112
146,37.357708,0x4497370,A3,403225112
147,40.541933,0x3d66fc0,A0,924015600
148,41.745387,0x37e4630,A2,823316924
149,42.111800,0x4497370,A3,403668620
150,42.199220,0x4497370,A3,404112128
151,42.349136,0x4497370,A3,403668620
152,42.421275,0x4497370,A3,398219632
153,42.426262,0x4497370,A3,365525704
154,42.427914,0x4497370,A3,332831776
155,42.429166,0x4497370,A3,300137848
156,42.431800,0x4497370,A3,289239872
157,42.432601,0x4497370,A3,256545944
158,42.433052,0x4497370,A3,223852016
159,42.433602,0x4497370,A3,212954040
160,42.434433,0x4497370,A3,202056064
161,42.441613,0x4497370,A3,207505052
162,42.467389,0x4497370,A3,240198980
163,42.497230,0x4497370,A3,272892908
164,42.527662,0x4497370,A3,305586836
165,42.561168,0x4497370,A3,316484812
166,42.581926,0x4497370,A3,349178740
167,42.610165,0x4497370,A3,381872668
168,42.638944,0x4497370,A3,392770644
169,42.701771,0x4497370,A3,403668620
170,42.720657,0x4497370,A3,404112128
171,42.751399,0x4497370,A3,601084628
172,54.121000,0x3d66fc0,A0,1332683120
173,55.015409,0x37e4630,A2,1228831892
174,55.842556,0x4497370,A3,803506116
175,63.767584,0x3900690,A1,2556462072
176,69.312623,0x4497370,A3,1208349092
177,81.880481,0x3d66fc0,A0,2558685680
178,82.177278,0x37e4630,A2,2445376796
179,96.736933,0x4497370,A3,2422878020
180,145.417918,0x3900690,A1,3782571264
181,163.616262,0x37e4630,A2,3661921700
182,165.164559,0x3d66fc0,A0,3784688240
183,179.110050,0x4497370,A3,3637406948
184,229.781700,0x3900690,A1,4174579848
185,246.684554,0x37e4630,A2,4053930284
186,250.141504,0x3d66fc0,A0,4176696824
187,256.202441,0x3900690,A1,4305249376
188,261.685565,0x4497370,A3,4029415556
189,272.269096,0x37e4630,A2,4184599812
190,275.767423,0x3d66fc0,A0,4307366352
191,285.228141,0x4497370,A3,4160085092
192,375.328956,0x3900690,A1,4435918904
193,375.445416,0x3900690,A1,4827927488
194,375.659961,0x3900690,A1,6054036680
195,376.282186,0x3900690,A1,7280145872
196,376.912261,0x3900690,A1,7688848936
197,377.128148,0x3900690,A1,7893200468
198,377.244027,0x3900690,A1,8090534416
199,377.361579,0x3900690,A1,8097552000
200,377.377541,0x3900690,A1,8139657504
201,377.410085,0x3900690,A1,8181763008
202,377.443792,0x3900690,A1,8223868512
203,377.479330,0x3900690,A1,8237903680
204,377.498727,0x3900690,A1,8280009184
205,377.532013,0x3900690,A1,8322114688
206,377.567041,0x3900690,A1,8336149856
207,377.587199,0x3900690,A1,8350185024
208,377.610110,0x3900690,A1,8350516584
209,385.518856,0x37e4630,A2,4315269340
210,385.615840,0x37e4630,A2,4707277924
211,385.825448,0x37e4630,A2,5923822828
212,386.435185,0x37e4630,A2,7140367732
213,387.051793,0x37e4630,A2,7545882700
214,387.263523,0x37e4630,A2,7748640184
215,387.378381,0x37e4630,A2,7945686352
216,387.491517,0x37e4630,A2,7951397668
217,387.507328,0x37e4630,A2,7985665564
218,387.536048,0x37e4630,A2,8019933460
219,387.565358,0x37e4630,A2,8054201356
220,387.596741,0x37e4630,A2,8065623988
221,387.615267,0x37e4630,A2,8099891884
222,387.643966,0x37e4630,A2,8134159780
223,387.672475,0x37e4630,A2,8145582412
224,387.691501,0x37e4630,A2,8157005044
225,387.709777,0x37e4630,A2,8157442988
226,390.309298,0x3d66fc0,A0,4438035880
227,390.558130,0x3d66fc0,A0,4830044464
228,390.768019,0x3d66fc0,A0,6056047024
229,391.391065,0x3d66fc0,A0,7282049584
230,392.018457,0x3d66fc0,A0,7690717104
231,392.234844,0x3d66fc0,A0,7895050864
232,392.351324,0x3d66fc0,A0,8092334392
233,392.465771,0x3d66fc0,A0,8099384624
234,392.481383,0x3d66fc0,A0,8141686016
235,392.514278,0x3d66fc0,A0,8183987408
236,392.547503,0x3d66fc0,A0,8226288800
237,392.583152,0x3d66fc0,A0,8240389264
238,392.602289,0x3d66fc0,A0,8282690656
239,392.635314,0x3d66fc0,A0,8324992048
240,392.668690,0x3d66fc0,A0,8339092512
241,392.687756,0x3d66fc0,A0,8353192976
242,392.706632,0x3d66fc0,A0,8353533548
243,392.922098,0x4497370,A3,4290754628
244,393.170559,0x4497370,A3,4682763236
245,393.381720,0x4497370,A3,5897292164
246,393.398362,0x3900690,A1,8219847056
247,393.408216,0x37e4630,A2,8026773460
248,393.412131,0x3900690,A1,7827838472
249,393.413293,0x3900690,A1,6601729280
250,393.414845,0x3900690,A1,5375620088
251,393.415226,0x37e4630,A2,7634764876
252,393.415656,0x3900690,A1,4966917024
253,393.416587,0x37e4630,A2,6418219972
254,393.416698,0x3900690,A1,4762565492
255,393.417238,0x3900690,A1,4565231544
256,393.417579,0x37e4630,A2,5201675068
257,393.418200,0x37e4630,A2,4796160100
258,393.418941,0x37e4630,A2,4593402616
259,393.419832,0x37e4630,A2,4396356448
260,393.421424,0x3900690,A1,4564899984
261,393.422345,0x3900690,A1,4550864816
262,393.423076,0x37e4630,A2,4395918504
263,393.423086,0x3900690,A1,4536829648
264,393.423727,0x3900690,A1,4494724144
