seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
0,-1,0,setup.start,point,0,0,0
1,0,0,setup.end,point,13037071312,40000000000,19429913496
2,1,1,timeStep,enter,13037071312,40000000000,19429913496
3,1,1,step-start,point,13037071312,40000000000,19429913496
4,1,1,momentumSolve,enter,15177087211,40000000000,19429913496
5,-1,1,PDE.solveRhs.afterAssemble,point,15636514315,40000000000,21021884659
6,-1,1,PDE.solveRhs.afterSavedRhs,point,16028522899,40000000000,21021884659
7,-1,1,PDE.solveRhs.beforeSolve,point,16028522899,40000000000,21021884659
8,-1,1,PDE.solveRhs.afterSolve,point,16028522899,40000000000,21021884659
9,1,1,momentumSolve,exit,15636514315,40000000000,21021884659
10,1,1,after-UEqn,point,15636514315,40000000000,21021884659
11,1,1,pEqn,enter,17682066011,40000000000,21021884659
12,-1,1,PDE.solveImpl.beforeAssemble,point,18821521547,40000000000,21021884659
13,-1,1,PDE.solveImpl.afterAssemble,point,19215613883,40000000000,21021884659
14,-1,1,PDE.solveImpl.beforeSolve,point,19215613883,40000000000,21021884659
15,-1,1,PDE.solveImpl.afterSolve,point,19215613883,40000000000,21021884659
16,1,1,pEqn,exit,19215613883,40000000000,21021884659
17,1,1,after-pEqn,point,17170062187,40000000000,21021884659
18,-1,1,kOmegaSST.correct,enter,17170062187,40000000000,21021884659
19,-1,1,kOmegaSST.afterGradients,point,20969897259,40000000000,23562904371
20,-1,1,kOmegaSST.omegaEqn.before,point,20969897259,40000000000,23562904371
21,-1,1,PDE.solveImpl.beforeAssemble,point,22109352795,40000000000,24255842555
22,-1,1,PDE.solveImpl.afterAssemble,point,22109352795,40000000000,24255842555
23,-1,1,PDE.solveImpl.beforeSolve,point,22109352795,40000000000,24255842555
24,-1,1,PDE.solveImpl.afterSolve,point,22109352795,40000000000,24255842555
25,-1,1,kOmegaSST.omegaEqn.after,point,22109352795,40000000000,24255842555
26,-1,0,kOmegaSST.boundRepair,enter,22109352795,40000000000,24255842555
27,-1,0,kOmegaSST.boundRepair,exit,22109352795,40000000000,24255842555
28,-1,1,kOmegaSST.kEqn.before,point,22109352795,40000000000,24255842555
29,-1,1,PDE.solveImpl.beforeAssemble,point,23248808331,40000000000,25395298091
30,-1,1,PDE.solveImpl.afterAssemble,point,23248808331,40000000000,25395298091
31,-1,1,PDE.solveImpl.beforeSolve,point,23248808331,40000000000,25395298091
32,-1,1,PDE.solveImpl.afterSolve,point,23248808331,40000000000,25395298091
33,-1,1,kOmegaSST.kEqn.after,point,23248808331,40000000000,25395298091
34,-1,1,kOmegaSST.correct,exit,19448973259,40000000000,25395298091
35,1,1,after-turb,point,19448973259,40000000000,25395298091
36,1,1,timeStep,exit,19448973259,40000000000,25395298091
37,2,2,timeStep,enter,19448973259,40000000000,25395298091
38,2,2,step-start,point,19448973259,40000000000,25395298091
39,2,2,momentumSolve,enter,19448973259,40000000000,25395298091
40,-1,2,PDE.solveRhs.afterAssemble,point,19448973259,40000000000,25395298091
41,-1,2,PDE.solveRhs.afterSavedRhs,point,19840981843,40000000000,25395298091
42,-1,2,PDE.solveRhs.beforeSolve,point,19840981843,40000000000,25395298091
43,-1,2,PDE.solveRhs.afterSolve,point,19840981843,40000000000,25395298091
44,2,2,momentumSolve,exit,19448973259,40000000000,25395298091
45,2,2,after-UEqn,point,19448973259,40000000000,25395298091
46,2,2,pEqn,enter,21494524955,40000000000,25395298091
47,-1,2,PDE.solveImpl.beforeAssemble,point,21494524955,40000000000,25395298091
48,-1,2,PDE.solveImpl.afterAssemble,point,21494524955,40000000000,25395298091
49,-1,2,PDE.solveImpl.beforeSolve,point,21494524955,40000000000,25395298091
50,-1,2,PDE.solveImpl.afterSolve,point,21494524955,40000000000,25395298091
51,2,2,pEqn,exit,21494524955,40000000000,25395298091
52,2,2,after-pEqn,point,19448973259,40000000000,25395298091
53,-1,2,kOmegaSST.correct,enter,19448973259,40000000000,25395298091
54,-1,2,kOmegaSST.afterGradients,point,23248808331,40000000000,25841815443
55,-1,2,kOmegaSST.omegaEqn.before,point,23248808331,40000000000,25841815443
56,-1,2,PDE.solveImpl.beforeAssemble,point,23248808331,40000000000,25841815443
57,-1,2,PDE.solveImpl.afterAssemble,point,23248808331,40000000000,25841815443
58,-1,2,PDE.solveImpl.beforeSolve,point,23248808331,40000000000,25841815443
59,-1,2,PDE.solveImpl.afterSolve,point,23248808331,40000000000,25841815443
60,-1,2,kOmegaSST.omegaEqn.after,point,23248808331,40000000000,25841815443
61,-1,0,kOmegaSST.boundRepair,enter,23248808331,40000000000,25841815443
62,-1,0,kOmegaSST.boundRepair,exit,23248808331,40000000000,25841815443
63,-1,2,kOmegaSST.kEqn.before,point,23248808331,40000000000,25841815443
64,-1,2,PDE.solveImpl.beforeAssemble,point,23248808331,40000000000,25841815443
65,-1,2,PDE.solveImpl.afterAssemble,point,23248808331,40000000000,25841815443
66,-1,2,PDE.solveImpl.beforeSolve,point,23248808331,40000000000,25841815443
67,-1,2,PDE.solveImpl.afterSolve,point,23248808331,40000000000,25841815443
68,-1,2,kOmegaSST.kEqn.after,point,23248808331,40000000000,25841815443
69,-1,2,kOmegaSST.correct,exit,19448973259,40000000000,25841815443
70,2,2,after-turb,point,19448973259,40000000000,25841815443
71,2,2,timeStep,exit,19448973259,40000000000,25841815443
72,3,3,timeStep,enter,19448973259,40000000000,25841815443
73,3,3,step-start,point,19448973259,40000000000,25841815443
74,3,3,momentumSolve,enter,19448973259,40000000000,25841815443
75,-1,3,PDE.solveRhs.afterAssemble,point,19448973259,40000000000,25841815443
76,-1,3,PDE.solveRhs.afterSavedRhs,point,19840981843,40000000000,25841815443
77,-1,3,PDE.solveRhs.beforeSolve,point,19840981843,40000000000,25841815443
78,-1,3,PDE.solveRhs.afterSolve,point,19840981843,40000000000,25841815443
79,3,3,momentumSolve,exit,19448973259,40000000000,25841815443
80,3,3,after-UEqn,point,19448973259,40000000000,25841815443
81,3,3,pEqn,enter,21494524955,40000000000,25841815443
82,-1,3,PDE.solveImpl.beforeAssemble,point,21494524955,40000000000,25841815443
83,-1,3,PDE.solveImpl.afterAssemble,point,21494524955,40000000000,25841815443
84,-1,3,PDE.solveImpl.beforeSolve,point,21494524955,40000000000,25841815443
85,-1,3,PDE.solveImpl.afterSolve,point,21494524955,40000000000,25841815443
86,3,3,pEqn,exit,21494524955,40000000000,25841815443
87,3,3,after-pEqn,point,19448973259,40000000000,25841815443
88,-1,3,kOmegaSST.correct,enter,19448973259,40000000000,25841815443
89,-1,3,kOmegaSST.afterGradients,point,23248808331,40000000000,25841815443
90,-1,3,kOmegaSST.omegaEqn.before,point,23248808331,40000000000,25841815443
91,-1,3,PDE.solveImpl.beforeAssemble,point,23248808331,40000000000,25841815443
92,-1,3,PDE.solveImpl.afterAssemble,point,23248808331,40000000000,25841815443
93,-1,3,PDE.solveImpl.beforeSolve,point,23248808331,40000000000,25841815443
94,-1,3,PDE.solveImpl.afterSolve,point,23248808331,40000000000,25841815443
95,-1,3,kOmegaSST.omegaEqn.after,point,23248808331,40000000000,25841815443
96,-1,0,kOmegaSST.boundRepair,enter,23248808331,40000000000,25841815443
