seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
75,-1,3,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,26507192863
76,-1,3,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,26507192863
77,-1,3,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,26507192863
78,-1,3,PDE.solveRhs.afterSolve,point,20447580695,40000000000,26507192863
79,3,3,momentumSolve,exit,20055572111,40000000000,26507192863
80,3,3,after-UEqn,point,20055572111,40000000000,26507192863
81,3,3,pEqn,enter,22182408231,40000000000,26507192863
82,-1,3,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,26507192863
83,-1,3,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,26507192863
84,-1,3,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,26507192863
85,-1,3,PDE.solveImpl.afterSolve,point,22182408231,40000000000,26507192863
86,3,3,pEqn,exit,22182408231,40000000000,26507192863
87,3,3,after-pEqn,point,20055572111,40000000000,26507192863
88,-1,3,kOmegaSST.correct,enter,20055572111,40000000000,26507192863
89,-1,3,kOmegaSST.afterGradients,point,23857780783,40000000000,26507192863
90,-1,3,kOmegaSST.omegaEqn.before,point,23857780783,40000000000,26507192863
91,-1,3,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
92,-1,3,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
93,-1,3,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
94,-1,3,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
95,-1,3,kOmegaSST.omegaEqn.after,point,23857780783,40000000000,26507192863
96,-1,0,kOmegaSST.boundRepair,enter,23857780783,40000000000,26507192863
97,-1,0,kOmegaSST.boundRepair,exit,23857780783,40000000000,26507192863
98,-1,3,kOmegaSST.kEqn.before,point,23857780783,40000000000,26507192863
99,-1,3,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
100,-1,3,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
101,-1,3,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
102,-1,3,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
103,-1,3,kOmegaSST.kEqn.after,point,23857780783,40000000000,26507192863
104,-1,3,kOmegaSST.correct,exit,20055572111,40000000000,26507192863
105,3,3,after-turb,point,20055572111,40000000000,26507192863
106,3,3,timeStep,exit,20055572111,40000000000,26507192863
107,4,4,timeStep,enter,20055572111,40000000000,26507192863
108,4,4,step-start,point,20055572111,40000000000,26507192863
109,4,4,momentumSolve,enter,20055572111,40000000000,26507192863
110,-1,4,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,26507192863
111,-1,4,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,26507192863
112,-1,4,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,26507192863
113,-1,4,PDE.solveRhs.afterSolve,point,20447580695,40000000000,26507192863
114,4,4,momentumSolve,exit,20055572111,40000000000,26507192863
115,4,4,after-UEqn,point,20055572111,40000000000,26507192863
116,4,4,pEqn,enter,22182408231,40000000000,26507192863
117,-1,4,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,26507192863
118,-1,4,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,26507192863
119,-1,4,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,26507192863
120,-1,4,PDE.solveImpl.afterSolve,point,22182408231,40000000000,26507192863
121,4,4,pEqn,exit,22182408231,40000000000,26507192863
122,4,4,after-pEqn,point,20055572111,40000000000,26507192863
123,-1,4,kOmegaSST.correct,enter,20055572111,40000000000,26507192863
124,-1,4,kOmegaSST.afterGradients,point,23857780783,40000000000,26507192863
125,-1,4,kOmegaSST.omegaEqn.before,point,23857780783,40000000000,26507192863
126,-1,4,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
127,-1,4,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
128,-1,4,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
129,-1,4,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
130,-1,4,kOmegaSST.omegaEqn.after,point,23857780783,40000000000,26507192863
131,-1,4,kOmegaSST.kEqn.before,point,23857780783,40000000000,26507192863
132,-1,4,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
133,-1,4,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
134,-1,4,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
135,-1,4,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
136,-1,4,kOmegaSST.kEqn.after,point,23857780783,40000000000,26507192863
137,-1,4,kOmegaSST.correct,exit,20055572111,40000000000,26507192863
138,4,4,after-turb,point,20055572111,40000000000,26507192863
139,4,4,timeStep,exit,20055572111,40000000000,26507192863
140,5,5,timeStep,enter,20055572111,40000000000,26507192863
141,5,5,step-start,point,20055572111,40000000000,26507192863
142,5,5,momentumSolve,enter,20055572111,40000000000,26507192863
143,-1,5,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,26507192863
144,-1,5,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,26507192863
145,-1,5,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,26507192863
146,-1,5,PDE.solveRhs.afterSolve,point,20447580695,40000000000,26507192863
147,5,5,momentumSolve,exit,20055572111,40000000000,26507192863
148,5,5,after-UEqn,point,20055572111,40000000000,26507192863
149,5,5,pEqn,enter,22182408231,40000000000,26507192863
150,-1,5,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,26507192863
151,-1,5,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,26507192863
152,-1,5,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,26507192863
153,-1,5,PDE.solveImpl.afterSolve,point,22182408231,40000000000,26507192863
154,5,5,pEqn,exit,22182408231,40000000000,26507192863
155,5,5,after-pEqn,point,20055572111,40000000000,26507192863
156,-1,5,kOmegaSST.correct,enter,20055572111,40000000000,26507192863
157,-1,5,kOmegaSST.afterGradients,point,23857780783,40000000000,26507192863
158,-1,5,kOmegaSST.omegaEqn.before,point,23857780783,40000000000,26507192863
159,-1,5,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
160,-1,5,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
161,-1,5,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
162,-1,5,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
163,-1,5,kOmegaSST.omegaEqn.after,point,23857780783,40000000000,26507192863
164,-1,5,kOmegaSST.kEqn.before,point,23857780783,40000000000,26507192863
165,-1,5,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
166,-1,5,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
167,-1,5,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
168,-1,5,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
169,-1,5,kOmegaSST.kEqn.after,point,23857780783,40000000000,26507192863
170,-1,5,kOmegaSST.correct,exit,20055572111,40000000000,26507192863
171,5,5,after-turb,point,20055572111,40000000000,26507192863
172,5,5,timeStep,exit,20055572111,40000000000,26507192863
173,6,6,timeStep,enter,20055572111,40000000000,26507192863
174,6,6,step-start,point,20055572111,40000000000,26507192863
175,6,6,momentumSolve,enter,20055572111,40000000000,26507192863
176,-1,6,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,26507192863
177,-1,6,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,26507192863
178,-1,6,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,26507192863
179,-1,6,PDE.solveRhs.afterSolve,point,20447580695,40000000000,26507192863
180,6,6,momentumSolve,exit,20055572111,40000000000,26507192863
181,6,6,after-UEqn,point,20055572111,40000000000,26507192863
182,6,6,pEqn,enter,22182408231,40000000000,26507192863
183,-1,6,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,26507192863
184,-1,6,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,26507192863
185,-1,6,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,26507192863
186,-1,6,PDE.solveImpl.afterSolve,point,22182408231,40000000000,26507192863
187,6,6,pEqn,exit,22182408231,40000000000,26507192863
188,6,6,after-pEqn,point,20055572111,40000000000,26507192863
189,-1,6,kOmegaSST.correct,enter,20055572111,40000000000,26507192863
190,-1,6,kOmegaSST.afterGradients,point,23857780783,40000000000,26507192863
191,-1,6,kOmegaSST.omegaEqn.before,point,23857780783,40000000000,26507192863
192,-1,6,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
193,-1,6,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
194,-1,6,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
195,-1,6,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
196,-1,6,kOmegaSST.omegaEqn.after,point,23857780783,40000000000,26507192863
197,-1,6,kOmegaSST.kEqn.before,point,23857780783,40000000000,26507192863
198,-1,6,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
199,-1,6,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
200,-1,6,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
201,-1,6,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
202,-1,6,kOmegaSST.kEqn.after,point,23857780783,40000000000,26507192863
203,-1,6,kOmegaSST.correct,exit,20055572111,40000000000,26507192863
204,6,6,after-turb,point,20055572111,40000000000,26507192863
205,6,6,timeStep,exit,20055572111,40000000000,26507192863
206,7,7,timeStep,enter,20055572111,40000000000,26507192863
207,7,7,step-start,point,20055572111,40000000000,26507192863
208,7,7,momentumSolve,enter,20055572111,40000000000,26507192863
209,-1,7,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,26507192863
210,-1,7,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,26507192863
211,-1,7,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,26507192863
212,-1,7,PDE.solveRhs.afterSolve,point,20447580695,40000000000,26507192863
213,7,7,momentumSolve,exit,20055572111,40000000000,26507192863
214,7,7,after-UEqn,point,20055572111,40000000000,26507192863
215,7,7,pEqn,enter,22182408231,40000000000,26507192863
216,-1,7,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,26507192863
217,-1,7,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,26507192863
218,-1,7,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,26507192863
219,-1,7,PDE.solveImpl.afterSolve,point,22182408231,40000000000,26507192863
220,7,7,pEqn,exit,22182408231,40000000000,26507192863
221,7,7,after-pEqn,point,20055572111,40000000000,26507192863
222,-1,7,kOmegaSST.correct,enter,20055572111,40000000000,26507192863
223,-1,7,kOmegaSST.afterGradients,point,23857780783,40000000000,26507192863
