seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
0,-1,0,setup.start,point,0,0,0
1,0,0,setup.end,point,12923608780,40000000000,19304337268
2,1,1,timeStep,enter,12923608780,40000000000,19304337268
3,1,1,step-start,point,12923608780,40000000000,19304337268
4,1,1,momentumSolve,enter,15058503082,40000000000,19304337268
5,-1,1,PDE.solveRhs.afterAssemble,point,15517782854,40000000000,20871397214
6,-1,1,PDE.solveRhs.afterSavedRhs,point,15909791462,40000000000,20871397214
7,-1,1,PDE.solveRhs.beforeSolve,point,15909791462,40000000000,20871397214
8,-1,1,PDE.solveRhs.afterSolve,point,15909791462,40000000000,20871397214
9,1,1,momentumSolve,exit,15517782854,40000000000,20871397214
10,1,1,after-UEqn,point,15517782854,40000000000,20871397214
11,1,1,pEqn,enter,17547300278,40000000000,20871397214
12,-1,1,PDE.solveImpl.beforeAssemble,point,18683392326,40000000000,20871397214
13,-1,1,PDE.solveImpl.afterAssemble,point,19077337326,40000000000,20871397214
14,-1,1,PDE.solveImpl.beforeSolve,point,19077337326,40000000000,20871397214
15,-1,1,PDE.solveImpl.afterSolve,point,19077337326,40000000000,20871397214
16,1,1,pEqn,exit,19077337326,40000000000,20871397214
17,1,1,after-pEqn,point,17047819902,40000000000,20871397214
18,-1,1,kOmegaSST.correct,enter,17047819902,40000000000,20871397214
19,-1,1,kOmegaSST.afterGradients,point,18746523870,40000000000,21328153854
20,-1,1,kOmegaSST.omegaEqn.before,point,18750396654,40000000000,21328153854
21,-1,1,PDE.solveImpl.beforeAssemble,point,19886488702,40000000000,22030312782
22,-1,1,PDE.solveImpl.afterAssemble,point,19886488702,40000000000,22030312782
23,-1,1,PDE.solveImpl.beforeSolve,point,19886488702,40000000000,22030312782
24,-1,1,PDE.solveImpl.afterSolve,point,19886488702,40000000000,22030312782
25,-1,1,kOmegaSST.omegaEqn.after,point,19886488702,40000000000,22030312782
26,-1,0,kOmegaSST.boundRepair,enter,20411103238,40000000000,22030312782
27,-1,0,kOmegaSST.boundRepair,exit,20411103238,40000000000,22030312782
28,-1,1,kOmegaSST.kEqn.before,point,18969865558,40000000000,22030312782
29,-1,1,PDE.solveImpl.beforeAssemble,point,20105957606,40000000000,22249781686
30,-1,1,PDE.solveImpl.afterAssemble,point,20105957606,40000000000,22249781686
31,-1,1,PDE.solveImpl.beforeSolve,point,20105957606,40000000000,22249781686
