event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x2fad9b0,A1,14035168
1,0.740829,0x2fad9b0,A1,28070336
2,1.278949,0x2fad9b0,A1,70175840
3,1.351159,0x41dc1d0,A0,14100464
4,2.206675,0x41dc1d0,A0,28200928
5,2.909301,0x41dc1d0,A0,70502320
6,3.206690,0x2fad9b0,A1,112281344
7,4.754268,0x41dc1d0,A0,112803712
8,5.017741,0x2fad9b0,A1,126316512
9,5.613660,0x2fad9b0,A1,168422016
10,6.482054,0x41dc1d0,A0,126904176
11,7.098101,0x41dc1d0,A0,169205568
12,7.342247,0x2fad9b0,A1,210527520
13,8.691072,0x41dc1d0,A0,211506960
14,8.890226,0x2fad9b0,A1,252633024
15,10.261231,0x41dc1d0,A0,253808352
16,10.437434,0x2fad9b0,A1,259650608
17,10.766276,0x2fad9b0,A1,266668192
18,10.823785,0x2fad9b0,A1,308773696
19,10.861607,0x2fad9b0,A1,350879200
20,10.900330,0x2fad9b0,A1,392984704
21,10.942008,0x2fad9b0,A1,407019872
22,10.964649,0x2fad9b0,A1,449125376
23,10.999837,0x2fad9b0,A1,491230880
24,11.035997,0x2fad9b0,A1,505266048
25,11.058578,0x2fad9b0,A1,519301216
26,11.108577,0x2fad9b0,A1,519301216
27,11.118841,0x352c980,A2,11422632
28,11.702844,0x352c980,A2,22845264
29,11.706178,0x41dc1d0,A0,260858584
30,12.035011,0x41dc1d0,A0,267908816
31,12.088394,0x41dc1d0,A0,310210208
32,12.125585,0x41dc1d0,A0,352511600
33,12.146213,0x352c980,A2,57113160
34,12.164969,0x41dc1d0,A0,394812992
35,12.207057,0x41dc1d0,A0,408913456
36,12.229568,0x41dc1d0,A0,451214848
37,12.265868,0x41dc1d0,A0,493516240
38,12.302108,0x41dc1d0,A0,507616704
39,12.323908,0x41dc1d0,A0,521717168
40,12.367668,0x41dc1d0,A0,521717168
41,13.185102,0x352c980,A2,91381056
42,14.260711,0x352c980,A2,102803688
43,14.620646,0x352c980,A2,137071584
44,14.713424,0x351d7b0,A3,10897976
45,15.253487,0x351d7b0,A3,21795952
46,15.550495,0x2fad9b0,A1,519632776
47,15.606672,0x2fad9b0,A1,519964336
48,15.731574,0x2fad9b0,A1,519632776
49,15.745623,0x351d7b0,A3,54489880
50,15.782784,0x2fad9b0,A1,512615192
51,15.787281,0x2fad9b0,A1,470509688
52,15.789133,0x2fad9b0,A1,428404184
53,15.790715,0x2fad9b0,A1,386298680
54,15.792948,0x2fad9b0,A1,372263512
55,15.794070,0x2fad9b0,A1,330158008
56,15.794811,0x2fad9b0,A1,288052504
57,15.795602,0x2fad9b0,A1,274017336
58,15.796703,0x2fad9b0,A1,259982168
59,15.810042,0x2fad9b0,A1,266999752
60,15.840073,0x2fad9b0,A1,309105256
61,15.877284,0x2fad9b0,A1,351210760
62,15.913744,0x2fad9b0,A1,393316264
63,15.921315,0x352c980,A2,171339480
64,15.952488,0x2fad9b0,A1,407351432
65,15.975920,0x2fad9b0,A1,449456936
66,16.011489,0x2fad9b0,A1,491562440
67,16.047558,0x2fad9b0,A1,505597608
68,16.106069,0x2fad9b0,A1,519632776
69,16.128159,0x2fad9b0,A1,519964336
70,16.157880,0x2fad9b0,A1,717298284
71,16.560234,0x41dc1d0,A0,522057740
72,16.618383,0x41dc1d0,A0,522398312
73,16.732791,0x41dc1d0,A0,522057740
74,16.784602,0x41dc1d0,A0,515007508
75,16.788808,0x41dc1d0,A0,472706116
76,16.791221,0x41dc1d0,A0,430404724
77,16.792803,0x41dc1d0,A0,388103332
78,16.795777,0x41dc1d0,A0,374002868
79,16.796879,0x41dc1d0,A0,331701476
80,16.797540,0x41dc1d0,A0,289400084
81,16.798451,0x41dc1d0,A0,275299620
82,16.799603,0x41dc1d0,A0,261199156
83,16.811789,0x41dc1d0,A0,268249388
84,16.838606,0x41dc1d0,A0,310550780
85,16.876388,0x41dc1d0,A0,352852172
86,16.912808,0x41dc1d0,A0,395153564
87,16.951852,0x41dc1d0,A0,409254028
88,16.975024,0x41dc1d0,A0,451555420
89,17.011063,0x41dc1d0,A0,493856812
90,17.048886,0x41dc1d0,A0,507957276
91,17.103741,0x41dc1d0,A0,522057740
