seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
75,-1,3,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,25600529207
76,-1,3,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,25600529207
77,-1,3,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,25600529207
78,-1,3,PDE.solveRhs.afterSolve,point,20447580695,40000000000,25600529207
79,3,3,momentumSolve,exit,20055572111,40000000000,25600529207
80,3,3,after-UEqn,point,20055572111,40000000000,25600529207
81,3,3,pEqn,enter,22182408231,40000000000,25600529207
82,-1,3,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,25600529207
83,-1,3,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,25600529207
84,-1,3,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,25600529207
85,-1,3,PDE.solveImpl.afterSolve,point,22182408231,40000000000,25600529207
86,3,3,pEqn,exit,22182408231,40000000000,25600529207
87,3,3,after-pEqn,point,20055572111,40000000000,25600529207
88,-1,3,kOmegaSST.correct,enter,20055572111,40000000000,25600529207
89,-1,3,kOmegaSST.afterGradients,point,21754275975,40000000000,25600529207
90,-1,3,kOmegaSST.omegaEqn.before,point,21759392919,40000000000,25600529207
91,-1,3,PDE.solveImpl.beforeAssemble,point,21759392919,40000000000,25600529207
92,-1,3,PDE.solveImpl.afterAssemble,point,21759392919,40000000000,25600529207
93,-1,3,PDE.solveImpl.beforeSolve,point,21759392919,40000000000,25600529207
94,-1,3,PDE.solveImpl.afterSolve,point,21759392919,40000000000,25600529207
95,-1,3,kOmegaSST.omegaEqn.after,point,21759392919,40000000000,25600529207
96,-1,0,kOmegaSST.boundRepair,enter,22284629503,40000000000,25600529207
97,-1,0,kOmegaSST.boundRepair,exit,22284629503,40000000000,25600529207
98,-1,3,kOmegaSST.kEqn.before,point,20842147751,40000000000,25600529207
99,-1,3,PDE.solveImpl.beforeAssemble,point,20842147751,40000000000,25600529207
100,-1,3,PDE.solveImpl.afterAssemble,point,20842147751,40000000000,25600529207
101,-1,3,PDE.solveImpl.beforeSolve,point,20842147751,40000000000,25600529207
102,-1,3,PDE.solveImpl.afterSolve,point,20842147751,40000000000,25600529207
103,-1,3,kOmegaSST.kEqn.after,point,20842147751,40000000000,25600529207
104,-1,3,kOmegaSST.correct,exit,20055572111,40000000000,25600529207
105,3,3,after-turb,point,20055572111,40000000000,25600529207
106,3,3,timeStep,exit,20055572111,40000000000,25600529207
107,4,4,timeStep,enter,20055572111,40000000000,25600529207
108,4,4,step-start,point,20055572111,40000000000,25600529207
109,4,4,momentumSolve,enter,20055572111,40000000000,25600529207
110,-1,4,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,25600529207
111,-1,4,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,25600529207
112,-1,4,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,25600529207
113,-1,4,PDE.solveRhs.afterSolve,point,20447580695,40000000000,25600529207
114,4,4,momentumSolve,exit,20055572111,40000000000,25600529207
115,4,4,after-UEqn,point,20055572111,40000000000,25600529207
116,4,4,pEqn,enter,22182408231,40000000000,25600529207
117,-1,4,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,25600529207
118,-1,4,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,25600529207
119,-1,4,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,25600529207
120,-1,4,PDE.solveImpl.afterSolve,point,22182408231,40000000000,25600529207
121,4,4,pEqn,exit,22182408231,40000000000,25600529207
122,4,4,after-pEqn,point,20055572111,40000000000,25600529207
123,-1,4,kOmegaSST.correct,enter,20055572111,40000000000,25600529207
124,-1,4,kOmegaSST.afterGradients,point,21754275975,40000000000,25600529207
125,-1,4,kOmegaSST.omegaEqn.before,point,21759392919,40000000000,25600529207
126,-1,4,PDE.solveImpl.beforeAssemble,point,21759392919,40000000000,25600529207
127,-1,4,PDE.solveImpl.afterAssemble,point,21759392919,40000000000,25600529207
128,-1,4,PDE.solveImpl.beforeSolve,point,21759392919,40000000000,25600529207
129,-1,4,PDE.solveImpl.afterSolve,point,21759392919,40000000000,25600529207
130,-1,4,kOmegaSST.omegaEqn.after,point,21759392919,40000000000,25600529207
131,-1,4,kOmegaSST.kEqn.before,point,20842147751,40000000000,25600529207
132,-1,4,PDE.solveImpl.beforeAssemble,point,20842147751,40000000000,25600529207
133,-1,4,PDE.solveImpl.afterAssemble,point,20842147751,40000000000,25600529207
134,-1,4,PDE.solveImpl.beforeSolve,point,20842147751,40000000000,25600529207
135,-1,4,PDE.solveImpl.afterSolve,point,20842147751,40000000000,25600529207
136,-1,4,kOmegaSST.kEqn.after,point,20842147751,40000000000,25600529207
137,-1,4,kOmegaSST.correct,exit,20055572111,40000000000,25600529207
138,4,4,after-turb,point,20055572111,40000000000,25600529207
139,4,4,timeStep,exit,20055572111,40000000000,25600529207
140,5,5,timeStep,enter,20055572111,40000000000,25600529207
141,5,5,step-start,point,20055572111,40000000000,25600529207
142,5,5,momentumSolve,enter,20055572111,40000000000,25600529207
143,-1,5,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,25600529207
144,-1,5,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,25600529207
145,-1,5,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,25600529207
146,-1,5,PDE.solveRhs.afterSolve,point,20447580695,40000000000,25600529207
147,5,5,momentumSolve,exit,20055572111,40000000000,25600529207
148,5,5,after-UEqn,point,20055572111,40000000000,25600529207
149,5,5,pEqn,enter,22182408231,40000000000,25600529207
150,-1,5,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,25600529207
151,-1,5,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,25600529207
152,-1,5,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,25600529207
153,-1,5,PDE.solveImpl.afterSolve,point,22182408231,40000000000,25600529207
154,5,5,pEqn,exit,22182408231,40000000000,25600529207
155,5,5,after-pEqn,point,20055572111,40000000000,25600529207
156,-1,5,kOmegaSST.correct,enter,20055572111,40000000000,25600529207
157,-1,5,kOmegaSST.afterGradients,point,21754275975,40000000000,25600529207
158,-1,5,kOmegaSST.omegaEqn.before,point,21759392919,40000000000,25600529207
159,-1,5,PDE.solveImpl.beforeAssemble,point,21759392919,40000000000,25600529207
160,-1,5,PDE.solveImpl.afterAssemble,point,21759392919,40000000000,25600529207
161,-1,5,PDE.solveImpl.beforeSolve,point,21759392919,40000000000,25600529207
162,-1,5,PDE.solveImpl.afterSolve,point,21759392919,40000000000,25600529207
163,-1,5,kOmegaSST.omegaEqn.after,point,21759392919,40000000000,25600529207
164,-1,5,kOmegaSST.kEqn.before,point,20842147751,40000000000,25600529207
165,-1,5,PDE.solveImpl.beforeAssemble,point,20842147751,40000000000,25600529207
166,-1,5,PDE.solveImpl.afterAssemble,point,20842147751,40000000000,25600529207
167,-1,5,PDE.solveImpl.beforeSolve,point,20842147751,40000000000,25600529207
168,-1,5,PDE.solveImpl.afterSolve,point,20842147751,40000000000,25600529207
169,-1,5,kOmegaSST.kEqn.after,point,20842147751,40000000000,25600529207
170,-1,5,kOmegaSST.correct,exit,20055572111,40000000000,25600529207
171,5,5,after-turb,point,20055572111,40000000000,25600529207
172,5,5,timeStep,exit,20055572111,40000000000,25600529207
173,6,6,timeStep,enter,20055572111,40000000000,25600529207
174,6,6,step-start,point,20055572111,40000000000,25600529207
175,6,6,momentumSolve,enter,20055572111,40000000000,25600529207
176,-1,6,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,25600529207
177,-1,6,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,25600529207
178,-1,6,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,25600529207
179,-1,6,PDE.solveRhs.afterSolve,point,20447580695,40000000000,25600529207
180,6,6,momentumSolve,exit,20055572111,40000000000,25600529207
181,6,6,after-UEqn,point,20055572111,40000000000,25600529207
182,6,6,pEqn,enter,22182408231,40000000000,25600529207
183,-1,6,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,25600529207
