seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
75,-1,3,PDE.solveRhs.afterAssemble,point,23846623281,40000000000,29388700753
76,-1,3,PDE.solveRhs.afterSavedRhs,point,24238631865,40000000000,29388700753
77,-1,3,PDE.solveRhs.beforeSolve,point,24238631865,40000000000,29388700753
78,-1,3,PDE.solveRhs.afterSolve,point,24238631865,40000000000,29388700753
79,3,3,momentumSolve,exit,23846623281,40000000000,29388700753
80,3,3,after-UEqn,point,23846623281,40000000000,29388700753
81,3,3,pEqn,enter,25971702177,40000000000,29388700753
82,-1,3,PDE.solveImpl.beforeAssemble,point,25971702177,40000000000,29388700753
83,-1,3,PDE.solveImpl.afterAssemble,point,25971702177,40000000000,29388700753
84,-1,3,PDE.solveImpl.beforeSolve,point,25971702177,40000000000,29388700753
85,-1,3,PDE.solveImpl.afterSolve,point,25971702177,40000000000,29388700753
86,3,3,pEqn,exit,25971702177,40000000000,29388700753
87,3,3,after-pEqn,point,23846623281,40000000000,29388700753
88,-1,3,kOmegaSST.correct,enter,23846623281,40000000000,29388700753
89,-1,3,kOmegaSST.afterGradients,point,23846623281,40000000000,29388700753
90,-1,3,kOmegaSST.omegaEqn.before,point,23846623281,40000000000,29388700753
91,-1,3,PDE.solveImpl.beforeAssemble,point,23846623281,40000000000,29388700753
92,-1,3,PDE.solveImpl.afterAssemble,point,23846623281,40000000000,29388700753
93,-1,3,PDE.solveImpl.beforeSolve,point,23846623281,40000000000,29388700753
94,-1,3,PDE.solveImpl.afterSolve,point,23846623281,40000000000,29388700753
95,-1,3,kOmegaSST.omegaEqn.after,point,23846623281,40000000000,29388700753
96,-1,0,kOmegaSST.boundRepair,enter,23846623281,40000000000,29388700753
97,-1,0,kOmegaSST.boundRepair,exit,23846623281,40000000000,29388700753
98,-1,3,kOmegaSST.kEqn.before,point,23846623281,40000000000,29388700753
99,-1,3,PDE.solveImpl.beforeAssemble,point,23846623281,40000000000,29388700753
100,-1,3,PDE.solveImpl.afterAssemble,point,23846623281,40000000000,29388700753
101,-1,3,PDE.solveImpl.beforeSolve,point,23846623281,40000000000,29388700753
102,-1,3,PDE.solveImpl.afterSolve,point,23846623281,40000000000,29388700753
103,-1,3,kOmegaSST.kEqn.after,point,23846623281,40000000000,29388700753
104,-1,3,kOmegaSST.correct,exit,23846623281,40000000000,29388700753
105,3,3,after-turb,point,23846623281,40000000000,29388700753
106,3,3,timeStep,exit,23846623281,40000000000,29388700753
107,4,4,timeStep,enter,23846623281,40000000000,29388700753
108,4,4,step-start,point,23846623281,40000000000,29388700753
109,4,4,momentumSolve,enter,23846623281,40000000000,29388700753
110,-1,4,PDE.solveRhs.afterAssemble,point,23846623281,40000000000,29388700753
111,-1,4,PDE.solveRhs.afterSavedRhs,point,24238631865,40000000000,29388700753
112,-1,4,PDE.solveRhs.beforeSolve,point,24238631865,40000000000,29388700753
113,-1,4,PDE.solveRhs.afterSolve,point,24238631865,40000000000,29388700753
114,4,4,momentumSolve,exit,23846623281,40000000000,29388700753
115,4,4,after-UEqn,point,23846623281,40000000000,29388700753
116,4,4,pEqn,enter,25971702177,40000000000,29388700753
117,-1,4,PDE.solveImpl.beforeAssemble,point,25971702177,40000000000,29388700753
118,-1,4,PDE.solveImpl.afterAssemble,point,25971702177,40000000000,29388700753
119,-1,4,PDE.solveImpl.beforeSolve,point,25971702177,40000000000,29388700753
120,-1,4,PDE.solveImpl.afterSolve,point,25971702177,40000000000,29388700753
121,4,4,pEqn,exit,25971702177,40000000000,29388700753
122,4,4,after-pEqn,point,23846623281,40000000000,29388700753
123,-1,4,kOmegaSST.correct,enter,23846623281,40000000000,29388700753
124,-1,4,kOmegaSST.afterGradients,point,23846623281,40000000000,29388700753
125,-1,4,kOmegaSST.omegaEqn.before,point,23846623281,40000000000,29388700753
126,-1,4,PDE.solveImpl.beforeAssemble,point,23846623281,40000000000,29388700753
127,-1,4,PDE.solveImpl.afterAssemble,point,23846623281,40000000000,29388700753
128,-1,4,PDE.solveImpl.beforeSolve,point,23846623281,40000000000,29388700753
129,-1,4,PDE.solveImpl.afterSolve,point,23846623281,40000000000,29388700753
130,-1,4,kOmegaSST.omegaEqn.after,point,23846623281,40000000000,29388700753
131,-1,4,kOmegaSST.kEqn.before,point,23846623281,40000000000,29388700753
132,-1,4,PDE.solveImpl.beforeAssemble,point,23846623281,40000000000,29388700753
133,-1,4,PDE.solveImpl.afterAssemble,point,23846623281,40000000000,29388700753
134,-1,4,PDE.solveImpl.beforeSolve,point,23846623281,40000000000,29388700753
135,-1,4,PDE.solveImpl.afterSolve,point,23846623281,40000000000,29388700753
136,-1,4,kOmegaSST.kEqn.after,point,23846623281,40000000000,29388700753
137,-1,4,kOmegaSST.correct,exit,23846623281,40000000000,29388700753
138,4,4,after-turb,point,23846623281,40000000000,29388700753
139,4,4,timeStep,exit,23846623281,40000000000,29388700753
140,5,5,timeStep,enter,23846623281,40000000000,29388700753
141,5,5,step-start,point,23846623281,40000000000,29388700753
142,5,5,momentumSolve,enter,23846623281,40000000000,29388700753
143,-1,5,PDE.solveRhs.afterAssemble,point,23846623281,40000000000,29388700753
144,-1,5,PDE.solveRhs.afterSavedRhs,point,24238631865,40000000000,29388700753
145,-1,5,PDE.solveRhs.beforeSolve,point,24238631865,40000000000,29388700753
146,-1,5,PDE.solveRhs.afterSolve,point,24238631865,40000000000,29388700753
147,5,5,momentumSolve,exit,23846623281,40000000000,29388700753
148,5,5,after-UEqn,point,23846623281,40000000000,29388700753
149,5,5,pEqn,enter,25971702177,40000000000,29388700753
150,-1,5,PDE.solveImpl.beforeAssemble,point,25971702177,40000000000,29388700753
151,-1,5,PDE.solveImpl.afterAssemble,point,25971702177,40000000000,29388700753
152,-1,5,PDE.solveImpl.beforeSolve,point,25971702177,40000000000,29388700753
153,-1,5,PDE.solveImpl.afterSolve,point,25971702177,40000000000,29388700753
154,5,5,pEqn,exit,25971702177,40000000000,29388700753
155,5,5,after-pEqn,point,23846623281,40000000000,29388700753
156,-1,5,kOmegaSST.correct,enter,23846623281,40000000000,29388700753
157,-1,5,kOmegaSST.afterGradients,point,23846623281,40000000000,29388700753
158,-1,5,kOmegaSST.omegaEqn.before,point,23846623281,40000000000,29388700753
159,-1,5,PDE.solveImpl.beforeAssemble,point,23846623281,40000000000,29388700753
160,-1,5,PDE.solveImpl.afterAssemble,point,23846623281,40000000000,29388700753
161,-1,5,PDE.solveImpl.beforeSolve,point,23846623281,40000000000,29388700753
162,-1,5,PDE.solveImpl.afterSolve,point,23846623281,40000000000,29388700753
163,-1,5,kOmegaSST.omegaEqn.after,point,23846623281,40000000000,29388700753
164,-1,5,kOmegaSST.kEqn.before,point,23846623281,40000000000,29388700753
165,-1,5,PDE.solveImpl.beforeAssemble,point,23846623281,40000000000,29388700753
166,-1,5,PDE.solveImpl.afterAssemble,point,23846623281,40000000000,29388700753
167,-1,5,PDE.solveImpl.beforeSolve,point,23846623281,40000000000,29388700753
168,-1,5,PDE.solveImpl.afterSolve,point,23846623281,40000000000,29388700753
169,-1,5,kOmegaSST.kEqn.after,point,23846623281,40000000000,29388700753
170,-1,5,kOmegaSST.correct,exit,23846623281,40000000000,29388700753
171,5,5,after-turb,point,23846623281,40000000000,29388700753
172,5,5,timeStep,exit,23846623281,40000000000,29388700753
173,6,6,timeStep,enter,23846623281,40000000000,29388700753
174,6,6,step-start,point,23846623281,40000000000,29388700753
175,6,6,momentumSolve,enter,23846623281,40000000000,29388700753
