event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x3cdf630,A1,14035168
1,0.752835,0x3cdf630,A1,28070336
2,1.332010,0x3cdf630,A1,70175840
3,2.744461,0x3cdf630,A1,112281344
4,4.151555,0x3cdf630,A1,126316512
5,4.660174,0x3cdf630,A1,168422016
6,6.079304,0x3cdf630,A1,210527520
7,7.356278,0x3cdf630,A1,252633024
8,8.622298,0x32e0020,A0,14100464
9,8.623149,0x3cdf630,A1,259650608
10,8.944020,0x3cdf630,A1,266668192
11,8.998054,0x3cdf630,A1,308773696
12,9.035606,0x3cdf630,A1,350879200
13,9.073097,0x3cdf630,A1,392984704
14,9.115335,0x3cdf630,A1,407019872
15,9.141732,0x3cdf630,A1,449125376
16,9.176610,0x3cdf630,A1,491230880
17,9.193353,0x32e0020,A0,28200928
18,9.215683,0x3cdf630,A1,505266048
19,9.238044,0x3cdf630,A1,519301216
20,9.282565,0x3cdf630,A1,519301216
21,9.634479,0x32e0020,A0,70502320
22,10.850970,0x32e0020,A0,112803712
23,12.092907,0x32e0020,A0,126904176
24,12.575210,0x32e0020,A0,169205568
25,13.388537,0x3807570,A2,11422632
26,13.517054,0x3cdf630,A1,519632776
27,13.571359,0x3cdf630,A1,519964336
28,13.712953,0x3cdf630,A1,519632776
29,13.756473,0x4c27280,A3,10897976
30,13.766857,0x3cdf630,A1,512615192
31,13.771724,0x3cdf630,A1,470509688
32,13.773797,0x3cdf630,A1,428404184
33,13.775139,0x3cdf630,A1,386298680
34,13.777782,0x3cdf630,A1,372263512
35,13.778603,0x3cdf630,A1,330158008
36,13.779134,0x3cdf630,A1,288052504
37,13.779825,0x3cdf630,A1,274017336
38,13.780546,0x3cdf630,A1,259982168
39,13.792592,0x3cdf630,A1,266999752
40,13.820761,0x3cdf630,A1,309105256
41,13.856941,0x3cdf630,A1,351210760
42,13.870349,0x32e0020,A0,211506960
43,13.892890,0x3cdf630,A1,393316264
44,13.930732,0x3cdf630,A1,407351432
45,13.954875,0x3cdf630,A1,449456936
46,13.968975,0x3807570,A2,22845264
47,13.989884,0x3cdf630,A1,491562440
48,14.026434,0x3cdf630,A1,505597608
49,14.083833,0x3cdf630,A1,519632776
50,14.107545,0x3cdf630,A1,519964336
51,14.146849,0x3cdf630,A1,717298284
52,14.481409,0x4c27280,A3,21795952
53,14.697937,0x3807570,A2,57113160
54,15.311390,0x4c27280,A3,54489880
55,16.764596,0x32e0020,A0,253808352
56,17.146201,0x3807570,A2,91381056
57,17.636815,0x4c27280,A3,87183808
58,19.475982,0x3807570,A2,102803688
59,19.648259,0x32e0020,A0,260858584
60,19.820936,0x4c27280,A3,98081784
61,20.199346,0x32e0020,A0,267908816
62,20.220115,0x3807570,A2,137071584
63,20.423745,0x32e0020,A0,310210208
64,20.463910,0x32e0020,A0,352511600
65,20.488984,0x4c27280,A3,130775712
66,20.502212,0x32e0020,A0,394812992
67,20.549347,0x32e0020,A0,408913456
68,20.572048,0x32e0020,A0,451214848
69,20.608989,0x32e0020,A0,493516240
70,20.649565,0x32e0020,A0,507616704
71,20.672657,0x32e0020,A0,521717168
72,20.721734,0x32e0020,A0,521717168
73,22.107198,0x3807570,A2,171339480
74,22.544178,0x4c27280,A3,163469640
75,24.115868,0x3807570,A2,205607376
76,24.583120,0x4c27280,A3,196163568
77,25.466814,0x32e0020,A0,522057740
78,25.527187,0x32e0020,A0,522398312
79,25.678445,0x32e0020,A0,522057740
80,25.741832,0x32e0020,A0,515007508
81,25.747019,0x32e0020,A0,472706116
82,25.749162,0x32e0020,A0,430404724
83,25.750444,0x32e0020,A0,388103332
84,25.753558,0x32e0020,A0,374002868
85,25.754480,0x32e0020,A0,331701476
86,25.755251,0x32e0020,A0,289400084
87,25.756032,0x32e0020,A0,275299620
88,25.757774,0x32e0020,A0,261199156
89,25.775739,0x32e0020,A0,268249388
90,25.804799,0x32e0020,A0,310550780
91,25.843272,0x32e0020,A0,352852172
92,25.879952,0x32e0020,A0,395153564
93,25.924273,0x32e0020,A0,409254028
94,25.951791,0x32e0020,A0,451555420
95,25.991255,0x32e0020,A0,493856812
96,26.028196,0x32e0020,A0,507957276
97,26.089540,0x32e0020,A0,522057740
98,26.112221,0x32e0020,A0,522398312
99,26.148671,0x32e0020,A0,719681840
100,26.231104,0x3807570,A2,211318692
101,26.676166,0x4c27280,A3,201612556
102,26.678089,0x3cdf630,A1,921649816
103,26.707439,0x3807570,A2,217030008
104,26.757097,0x3807570,A2,251297904
105,26.790663,0x3807570,A2,285565800
106,26.824229,0x3807570,A2,319833696
107,26.863413,0x3807570,A2,331256328
108,26.885013,0x3807570,A2,365524224
109,26.922805,0x3807570,A2,399792120
110,26.955680,0x3807570,A2,411214752
111,26.977410,0x3807570,A2,422637384
112,27.004177,0x4c27280,A3,207061544
113,27.023523,0x3807570,A2,422637384
114,27.201878,0x4c27280,A3,239755472
115,27.235374,0x4c27280,A3,272449400
116,27.269722,0x4c27280,A3,305143328
117,27.306272,0x4c27280,A3,316041304
118,27.329253,0x4c27280,A3,348735232
119,27.362399,0x4c27280,A3,381429160
120,27.395925,0x4c27280,A3,392327136
121,27.418015,0x4c27280,A3,403225112
122,27.475835,0x4c27280,A3,403225112
123,31.326596,0x3807570,A2,423075328
124,31.406346,0x3807570,A2,423513272
125,31.537346,0x3807570,A2,423075328
126,31.595436,0x3807570,A2,417364012
127,31.600132,0x3807570,A2,383096116
128,31.602175,0x3807570,A2,348828220
129,31.604077,0x3807570,A2,314560324
130,31.607262,0x3807570,A2,303137692
131,31.608133,0x3807570,A2,268869796
132,31.608994,0x3807570,A2,234601900
133,31.609926,0x3807570,A2,223179268
134,31.611097,0x3807570,A2,211756636
135,31.630324,0x3807570,A2,217467952
136,31.658372,0x3807570,A2,251735848
137,31.665932,0x4c27280,A3,403668620
138,31.692429,0x3807570,A2,286003744
139,31.724633,0x3807570,A2,320271640
140,31.734817,0x4c27280,A3,404112128
141,31.759761,0x3807570,A2,331694272
142,31.783494,0x3807570,A2,365962168
143,31.815328,0x3807570,A2,400230064
144,31.832401,0x4c27280,A3,403668620
145,31.846741,0x3807570,A2,411652696
146,31.865977,0x4c27280,A3,398219632
147,31.869672,0x4c27280,A3,365525704
148,31.871986,0x4c27280,A3,332831776
149,31.873358,0x4c27280,A3,300137848
150,31.875220,0x4c27280,A3,289239872
151,31.876272,0x4c27280,A3,256545944
152,31.877073,0x4c27280,A3,223852016
153,31.877934,0x4c27280,A3,212954040
154,31.878795,0x4c27280,A3,202056064
155,31.887587,0x4c27280,A3,207505052
156,31.909748,0x3807570,A2,423075328
157,31.911029,0x4c27280,A3,240198980
158,31.930626,0x3807570,A2,423513272
159,31.949312,0x4c27280,A3,272892908
160,31.972163,0x3807570,A2,620559440
161,31.983939,0x4c27280,A3,305586836
162,32.018978,0x4c27280,A3,316484812
163,32.040457,0x4c27280,A3,349178740
164,32.072521,0x4c27280,A3,381872668
165,32.103283,0x4c27280,A3,392770644
166,32.167662,0x4c27280,A3,403668620
167,32.188160,0x4c27280,A3,404112128
168,32.236547,0x4c27280,A3,601084628
169,35.665959,0x32e0020,A0,924015600
170,36.663440,0x3cdf630,A1,1330352880
171,46.014279,0x3807570,A2,823316924
172,46.014499,0x4c27280,A3,803506116
173,50.209934,0x32e0020,A0,1332683120
174,60.284918,0x4c27280,A3,1208349092
175,60.514884,0x3807570,A2,1228831892
176,65.140841,0x3cdf630,A1,2556462072
177,78.960911,0x32e0020,A0,2558685680
178,88.213085,0x4c27280,A3,2422878020
179,89.374701,0x3807570,A2,2445376796
180,149.636848,0x3cdf630,A1,3782571264
181,165.210017,0x32e0020,A0,3784688240
182,172.568929,0x4c27280,A3,3637406948
183,175.312139,0x3807570,A2,3661921700
184,234.159692,0x3cdf630,A1,4174579848
185,249.976666,0x32e0020,A0,4176696824
186,256.447888,0x4c27280,A3,4029415556
187,260.002723,0x3807570,A2,4053930284
188,260.796964,0x3cdf630,A1,4305249376
189,276.333093,0x32e0020,A0,4307366352
190,281.838668,0x4c27280,A3,4160085092
191,285.452224,0x3807570,A2,4184599812
192,381.822677,0x3cdf630,A1,4435918904
193,381.942953,0x3cdf630,A1,4827927488
194,382.158699,0x3cdf630,A1,6054036680
195,382.782266,0x3cdf630,A1,7280145872
196,383.411581,0x3cdf630,A1,7688848936
197,383.629791,0x3cdf630,A1,7893200468
198,383.747993,0x3cdf630,A1,8090534416
199,383.862911,0x3cdf630,A1,8097552000
200,383.881787,0x3cdf630,A1,8139657504
201,384.061033,0x3cdf630,A1,8181763008
202,384.121897,0x3cdf630,A1,8223868512
203,384.161111,0x3cdf630,A1,8237903680
204,384.184333,0x3cdf630,A1,8280009184
205,384.219911,0x3cdf630,A1,8322114688
206,384.258104,0x3cdf630,A1,8336149856
207,384.279413,0x3cdf630,A1,8350185024
208,384.301944,0x3cdf630,A1,8350516584
209,394.319910,0x32e0020,A0,4438035880
210,394.578766,0x32e0020,A0,4830044464
211,394.741599,0x4c27280,A3,4290754628
212,394.795033,0x32e0020,A0,6056047024
213,395.018730,0x4c27280,A3,4682763236
214,395.789279,0x32e0020,A0,7282049584
215,396.147682,0x4c27280,A3,5897292164
216,396.923187,0x32e0020,A0,7690717104
217,397.632802,0x3807570,A2,4315269340
218,397.670794,0x4c27280,A3,7111821092
219,397.729125,0x3807570,A2,4707277924
220,397.941767,0x3807570,A2,5923822828
221,398.036968,0x32e0020,A0,7895050864
222,398.553617,0x3807570,A2,7140367732
223,398.804172,0x4c27280,A3,7516664068
224,399.063198,0x32e0020,A0,8092334392
225,399.171937,0x3807570,A2,7545882700
226,399.385631,0x3807570,A2,7748640184
227,399.423062,0x4c27280,A3,7719085556
228,399.501760,0x3807570,A2,7945686352
229,399.616027,0x3807570,A2,7951397668
230,399.634202,0x3807570,A2,7985665564
231,399.684692,0x32e0020,A0,8099384624
232,399.744574,0x3807570,A2,8019933460
233,399.785360,0x3807570,A2,8054201356
234,399.817554,0x3807570,A2,8065623988
235,399.838053,0x3807570,A2,8099891884
236,399.869045,0x3807570,A2,8134159780
237,399.900448,0x3807570,A2,8145582412
238,399.922378,0x3807570,A2,8157005044
239,399.942656,0x4c27280,A3,7916058056
240,399.942756,0x3807570,A2,8157442988
241,400.108224,0x32e0020,A0,8141686016
242,400.365047,0x4c27280,A3,7921507044
243,400.622651,0x32e0020,A0,8183987408
244,400.708809,0x4c27280,A3,7954200972
245,400.889157,0x32e0020,A0,8226288800
246,401.141053,0x4c27280,A3,7986894900
247,401.247549,0x32e0020,A0,8240389264
248,401.427847,0x4c27280,A3,8019588828
249,401.593214,0x32e0020,A0,8282690656
250,401.768335,0x4c27280,A3,8030486804
251,401.951557,0x32e0020,A0,8324992048
252,402.117174,0x4c27280,A3,8063180732
253,402.297021,0x32e0020,A0,8339092512
254,402.475196,0x4c27280,A3,8095874660
255,402.644429,0x32e0020,A0,8353192976
256,402.819219,0x4c27280,A3,8106772636
257,402.989263,0x32e0020,A0,8353533548
258,403.153058,0x4c27280,A3,8117670612
259,403.470204,0x4c27280,A3,8118114120
260,404.027630,0x3cdf630,A1,8219847056
261,404.033598,0x3807570,A2,8026773460
262,404.039866,0x3cdf630,A1,7827838472
263,404.040007,0x3807570,A2,7634764876
264,404.041489,0x3cdf630,A1,6601729280
265,404.041529,0x3807570,A2,6418219972
266,404.042810,0x3807570,A2,5201675068
267,404.043151,0x3cdf630,A1,5375620088
268,404.043581,0x3807570,A2,4796160100
269,404.044072,0x32e0020,A0,8222864020
270,404.044302,0x3cdf630,A1,4966917024
271,404.044463,0x3807570,A2,4593402616
272,404.045404,0x3cdf630,A1,4762565492
273,404.045925,0x3807570,A2,4396356448
274,404.046415,0x3cdf630,A1,4565231544
275,404.050130,0x3807570,A2,4395918504
276,404.050211,0x3cdf630,A1,4564899984
277,404.051062,0x32e0020,A0,7830855436
278,404.051623,0x3cdf630,A1,4550864816
279,404.051673,0x3807570,A2,4384495872
280,404.052854,0x32e0020,A0,6604852876
281,404.052884,0x3cdf630,A1,4536829648
282,404.053295,0x3807570,A2,4373073240
283,404.053906,0x3cdf630,A1,4494724144
284,404.054096,0x3807570,A2,4338805344
285,404.054657,0x32e0020,A0,5378850316
286,404.054837,0x3807570,A2,4304537448
287,404.054837,0x3cdf630,A1,4452618640
288,404.055868,0x3807570,A2,4293114816
289,404.055868,0x3cdf630,A1,4438583472
290,404.055888,0x32e0020,A0,4970182796
291,404.056589,0x3807570,A2,4258846920
292,404.056760,0x3cdf630,A1,4396477968
293,404.057120,0x32e0020,A0,4765849036
294,404.057170,0x3807570,A2,4224579024
295,404.057611,0x3807570,A2,4190311128
296,404.057761,0x3cdf630,A1,4354372464
297,404.058652,0x32e0020,A0,4568565508
298,404.058792,0x3cdf630,A1,4312266960
299,404.062237,0x32e0020,A0,4568224936
300,404.063689,0x32e0020,A0,4554124472
301,404.065542,0x32e0020,A0,4540024008
302,404.066463,0x32e0020,A0,4497722616
303,404.067785,0x32e0020,A0,4455421224
304,404.068796,0x32e0020,A0,4441320760
305,404.069898,0x32e0020,A0,4399019368
306,404.070518,0x32e0020,A0,4356717976
307,404.071350,0x32e0020,A0,4314416584
308,404.077698,0x3cdf630,A1,4305249376
309,404.077879,0x3807570,A2,4184599812
310,404.079080,0x3cdf630,A1,4304917816
311,404.079971,0x3807570,A2,4184161868
312,404.080152,0x3cdf630,A1,4290882648
313,404.080813,0x3cdf630,A1,4276847480
314,404.081183,0x3807570,A2,4172739236
315,404.081484,0x3cdf630,A1,4234741976
316,404.082044,0x3807570,A2,4161316604
317,404.082275,0x3cdf630,A1,4192636472
318,404.082795,0x3cdf630,A1,4178601304
319,404.082825,0x3807570,A2,4127048708
320,404.083236,0x32e0020,A0,4307366352
321,404.083336,0x3cdf630,A1,4136495800
322,404.083536,0x3807570,A2,4092780812
323,404.084087,0x3807570,A2,4081358180
324,404.084738,0x3807570,A2,4047090284
325,404.084758,0x32e0020,A0,4307025780
326,404.085739,0x3cdf630,A1,4094390296
327,404.086150,0x32e0020,A0,4292925316
328,404.086350,0x3cdf630,A1,4052284792
329,404.086540,0x3807570,A2,4012822388
330,404.086971,0x3cdf630,A1,4045267208
331,404.087101,0x32e0020,A0,4278824852
332,404.087442,0x3807570,A2,3978554492
333,404.087932,0x3807570,A2,3972843176
334,404.088153,0x32e0020,A0,4236523460
335,404.088874,0x32e0020,A0,4194222068
336,404.089755,0x32e0020,A0,4180121604
337,404.090216,0x32e0020,A0,4137820212
338,404.092268,0x32e0020,A0,4095518820
339,404.093420,0x32e0020,A0,4053217428
340,404.093901,0x32e0020,A0,4046167196
341,404.175343,0x4c27280,A3,7987444584
342,404.181892,0x4c27280,A3,7595435976
343,404.183744,0x4c27280,A3,6380907048
344,404.185156,0x4c27280,A3,5166378120
345,404.186648,0x4c27280,A3,4761535144
346,404.188200,0x4c27280,A3,4559113656
347,404.189352,0x4c27280,A3,4362141156
348,404.192817,0x4c27280,A3,4361697648
349,404.193968,0x4c27280,A3,4350799672
350,404.195891,0x4c27280,A3,4339901696
351,404.197183,0x4c27280,A3,4307207768
352,404.198074,0x4c27280,A3,4274513840
353,404.198785,0x4c27280,A3,4263615864
354,404.199896,0x4c27280,A3,4230921936
355,404.200547,0x4c27280,A3,4198228008
356,404.201508,0x4c27280,A3,4165534080
357,404.212584,0x4c27280,A3,4160085092
358,404.214196,0x4c27280,A3,4159641584
359,404.215368,0x4c27280,A3,4148743608
360,404.216159,0x4c27280,A3,4137845632
361,404.217050,0x4c27280,A3,4105151704
362,404.217761,0x4c27280,A3,4072457776
363,404.218241,0x4c27280,A3,4061559800
364,404.218902,0x4c27280,A3,4028865872
365,404.220755,0x4c27280,A3,3996171944
366,404.221336,0x4c27280,A3,3963478016
367,404.221786,0x4c27280,A3,3958029028
368,657.297601,0x4c27280,A3,4088698564
369,657.297621,0x3cdf630,A1,4175936736
370,657.298072,0x3807570,A2,4103512704
371,657.368438,0x32e0020,A0,4176836724
372,660.213648,0x3807570,A2,4114935336
373,660.215641,0x3cdf630,A1,4189971904
374,660.229780,0x3807570,A2,4126357968
375,660.231512,0x3cdf630,A1,4204007072
376,660.239664,0x3807570,A2,4137780600
377,660.241216,0x3cdf630,A1,4218042240
378,660.246463,0x3807570,A2,4149203232
379,660.247905,0x3cdf630,A1,4232077408
380,660.256276,0x3807570,A2,4149203460
381,660.256387,0x3cdf630,A1,4232077636
382,660.336166,0x3cdf630,A1,4362747164
383,660.336196,0x3807570,A2,4279872988
384,660.427512,0x3807570,A2,4291295620
385,660.427632,0x3cdf630,A1,4376782332
386,660.449532,0x3807570,A2,4302718252
387,660.450473,0x3cdf630,A1,4390817500
388,660.471032,0x3807570,A2,4314140884
389,660.474877,0x3cdf630,A1,4404852668
390,660.485842,0x4c27280,A3,4099596540
391,660.491430,0x3807570,A2,4325563516
392,660.496577,0x3cdf630,A1,4418887836
393,660.501123,0x4c27280,A3,4110494516
394,660.509875,0x4c27280,A3,4121392492
395,660.513951,0x3807570,A2,4325563744
396,660.517105,0x4c27280,A3,4132290468
397,660.518186,0x3cdf630,A1,4418888064
398,660.525016,0x4c27280,A3,4132290700
399,660.530934,0x3807570,A2,4325563516
