event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x36ea690,A1,14035168
1,0.740768,0x36ea690,A1,28070336
2,1.276824,0x36ea690,A1,70175840
3,2.758430,0x36ea690,A1,112281344
4,4.298647,0x36ea690,A1,126316512
5,4.825160,0x36ea690,A1,168422016
6,6.171530,0x36ea690,A1,210527520
7,7.473339,0x36ea690,A1,252633024
8,8.741622,0x36ea690,A1,259650608
9,9.027815,0x36ea690,A1,266668192
10,9.084733,0x36ea690,A1,308773696
11,9.122445,0x36ea690,A1,350879200
12,9.159826,0x36ea690,A1,392984704
13,9.201644,0x36ea690,A1,407019872
14,9.227239,0x36ea690,A1,449125376
15,9.261917,0x36ea690,A1,491230880
16,9.299699,0x36ea690,A1,505266048
17,9.321138,0x36ea690,A1,519301216
18,9.363857,0x36ea690,A1,519301216
19,11.221860,0x40d4020,A0,14100464
20,11.758327,0x40d4020,A0,28200928
21,12.214724,0x40d4020,A0,70502320
22,12.807489,0x3ca0650,A2,11422632
23,13.349133,0x3ca0650,A2,22845264
24,13.632823,0x40d4020,A0,112803712
25,13.784081,0x36ea690,A1,519632776
26,13.796367,0x3ca0650,A2,57113160
27,13.835211,0x36ea690,A1,519964336
28,13.979549,0x36ea690,A1,519632776
29,14.030209,0x36ea690,A1,512615192
30,14.034505,0x36ea690,A1,470509688
31,14.036257,0x36ea690,A1,428404184
32,14.037889,0x36ea690,A1,386298680
33,14.040132,0x36ea690,A1,372263512
34,14.040934,0x36ea690,A1,330158008
35,14.041514,0x36ea690,A1,288052504
36,14.042105,0x36ea690,A1,274017336
37,14.043287,0x36ea690,A1,259982168
38,14.055213,0x36ea690,A1,266999752
39,14.082891,0x36ea690,A1,309105256
40,14.120283,0x36ea690,A1,351210760
41,14.156542,0x36ea690,A1,393316264
42,14.195035,0x36ea690,A1,407351432
43,14.219499,0x36ea690,A1,449456936
44,14.255148,0x36ea690,A1,491562440
45,14.290046,0x36ea690,A1,505597608
46,14.347124,0x36ea690,A1,519632776
47,14.369134,0x36ea690,A1,519964336
48,14.403602,0x36ea690,A1,717298284
49,15.388325,0x3ca0650,A2,91381056
50,15.614626,0x40d4020,A0,126904176
51,15.729624,0x2f5d280,A3,10897976
52,16.523144,0x40d4020,A0,169205568
53,16.595764,0x2f5d280,A3,21795952
54,17.484215,0x2f5d280,A3,54489880
55,17.651555,0x3ca0650,A2,102803688
56,18.471792,0x3ca0650,A2,137071584
57,19.542123,0x40d4020,A0,211506960
58,19.776024,0x2f5d280,A3,87183808
59,20.929449,0x3ca0650,A2,171339480
60,22.229385,0x2f5d280,A3,98081784
61,22.714893,0x40d4020,A0,253808352
62,23.050694,0x2f5d280,A3,130775712
63,23.414504,0x3ca0650,A2,205607376
64,25.319982,0x2f5d280,A3,163469640
65,25.738237,0x40d4020,A0,260858584
66,25.798920,0x3ca0650,A2,211318692
67,26.300049,0x40d4020,A0,267908816
68,26.302102,0x3ca0650,A2,217030008
69,26.357438,0x3ca0650,A2,251297904
70,26.357828,0x40d4020,A0,310210208
71,26.392626,0x3ca0650,A2,285565800
72,26.397933,0x40d4020,A0,352511600
73,26.426012,0x3ca0650,A2,319833696
74,26.437027,0x40d4020,A0,394812992
75,26.465737,0x3ca0650,A2,331256328
76,26.480186,0x40d4020,A0,408913456
77,26.496038,0x3ca0650,A2,365524224
78,26.503308,0x40d4020,A0,451214848
79,26.527311,0x3ca0650,A2,399792120
80,26.540529,0x40d4020,A0,493516240
81,26.558895,0x3ca0650,A2,411214752
82,26.579413,0x40d4020,A0,507616704
83,26.579623,0x3ca0650,A2,422637384
84,26.602465,0x40d4020,A0,521717168
85,26.624385,0x3ca0650,A2,422637384
86,26.641618,0x40d4020,A0,521717168
87,27.022382,0x2f5d280,A3,196163568
88,27.149376,0x36ea690,A1,921649816
89,28.259421,0x2f5d280,A3,201612556
90,28.510907,0x2f5d280,A3,207061544
91,28.711863,0x2f5d280,A3,239755472
92,28.750146,0x2f5d280,A3,272449400
93,28.784593,0x2f5d280,A3,305143328
94,28.822645,0x2f5d280,A3,316041304
95,28.844465,0x2f5d280,A3,348735232
96,28.884871,0x2f5d280,A3,381429160
97,28.917315,0x2f5d280,A3,392327136
98,28.938524,0x2f5d280,A3,403225112
99,28.984678,0x2f5d280,A3,403225112
100,30.648144,0x3ca0650,A2,423075328
101,30.704381,0x3ca0650,A2,423513272
102,30.809345,0x3ca0650,A2,423075328
103,30.858032,0x3ca0650,A2,417364012
104,30.862228,0x3ca0650,A2,383096116
105,30.864030,0x3ca0650,A2,348828220
106,30.865432,0x3ca0650,A2,314560324
107,30.868466,0x3ca0650,A2,303137692
108,30.869208,0x3ca0650,A2,268869796
109,30.869979,0x3ca0650,A2,234601900
110,30.870810,0x3ca0650,A2,223179268
111,30.871941,0x3ca0650,A2,211756636
112,30.891258,0x3ca0650,A2,217467952
113,30.914830,0x3ca0650,A2,251735848
114,30.925435,0x40d4020,A0,522057740
115,30.947475,0x3ca0650,A2,286003744
116,30.976615,0x40d4020,A0,522398312
117,30.979389,0x3ca0650,A2,320271640
118,31.015298,0x3ca0650,A2,331694272
119,31.038420,0x3ca0650,A2,365962168
120,31.069523,0x3ca0650,A2,400230064
121,31.102108,0x3ca0650,A2,411652696
122,31.184751,0x3ca0650,A2,423075328
123,31.206271,0x3ca0650,A2,423513272
124,31.209635,0x40d4020,A0,522057740
125,31.234419,0x3ca0650,A2,620559440
126,31.248439,0x40d4020,A0,515007508
127,31.252574,0x40d4020,A0,472706116
128,31.254767,0x40d4020,A0,430404724
129,31.256109,0x40d4020,A0,388103332
130,31.258422,0x40d4020,A0,374002868
131,31.259233,0x40d4020,A0,331701476
132,31.259804,0x40d4020,A0,289400084
133,31.260595,0x40d4020,A0,275299620
134,31.262518,0x40d4020,A0,261199156
135,31.272181,0x40d4020,A0,268249388
136,31.302984,0x40d4020,A0,310550780
137,31.340465,0x40d4020,A0,352852172
138,31.378017,0x40d4020,A0,395153564
139,31.419764,0x40d4020,A0,409254028
140,31.448674,0x40d4020,A0,451555420
141,31.485094,0x40d4020,A0,493856812
142,31.521924,0x40d4020,A0,507957276
143,31.567377,0x40d4020,A0,522057740
144,31.589738,0x40d4020,A0,522398312
145,31.625797,0x40d4020,A0,719681840
146,32.994157,0x2f5d280,A3,403668620
147,33.065495,0x2f5d280,A3,404112128
148,33.326664,0x2f5d280,A3,403668620
149,33.381840,0x2f5d280,A3,398219632
150,33.390172,0x2f5d280,A3,365525704
151,33.392385,0x2f5d280,A3,332831776
152,33.393847,0x2f5d280,A3,300137848
153,33.397241,0x2f5d280,A3,289239872
154,33.398223,0x2f5d280,A3,256545944
155,33.399124,0x2f5d280,A3,223852016
156,33.399755,0x2f5d280,A3,212954040
157,33.400726,0x2f5d280,A3,202056064
158,33.412622,0x2f5d280,A3,207505052
159,33.441552,0x2f5d280,A3,240198980
160,33.479484,0x2f5d280,A3,272892908
161,33.514182,0x2f5d280,A3,305586836
162,33.547928,0x2f5d280,A3,316484812
163,33.574074,0x2f5d280,A3,349178740
164,33.605808,0x2f5d280,A3,381872668
165,33.639885,0x2f5d280,A3,392770644
166,33.700698,0x2f5d280,A3,403668620
167,33.722759,0x2f5d280,A3,404112128
168,33.775431,0x2f5d280,A3,601084628
169,35.483118,0x36ea690,A1,1330352880
170,43.814266,0x3ca0650,A2,823316924
171,44.660038,0x40d4020,A0,924015600
172,47.330727,0x2f5d280,A3,803506116
173,57.909374,0x3ca0650,A2,1228831892
174,58.972915,0x40d4020,A0,1332683120
175,61.464549,0x2f5d280,A3,1208349092
176,63.499756,0x36ea690,A1,2556462072
177,86.344196,0x3ca0650,A2,2445376796
178,87.871836,0x40d4020,A0,2558685680
179,89.641938,0x2f5d280,A3,2422878020
180,149.373746,0x36ea690,A1,3782571264
181,171.942318,0x3ca0650,A2,3661921700
182,175.671152,0x2f5d280,A3,3637406948
183,175.695175,0x40d4020,A0,3784688240
184,231.878917,0x36ea690,A1,4174579848
185,253.415071,0x3ca0650,A2,4053930284
186,258.770079,0x36ea690,A1,4305249376
187,259.319364,0x2f5d280,A3,4029415556
188,259.422876,0x40d4020,A0,4176696824
189,278.724859,0x3ca0650,A2,4184599812
190,284.269198,0x40d4020,A0,4307366352
191,284.318455,0x2f5d280,A3,4160085092
192,377.694384,0x36ea690,A1,4435918904
193,377.824233,0x36ea690,A1,4827927488
194,378.040790,0x36ea690,A1,6054036680
195,378.663997,0x36ea690,A1,7280145872
196,379.298198,0x36ea690,A1,7688848936
197,379.516759,0x36ea690,A1,7893200468
198,379.637665,0x36ea690,A1,8090534416
199,379.755647,0x36ea690,A1,8097552000
