seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
0,-1,0,setup.start,point,0,0,0
1,0,0,setup.end,point,13037071312,40000000000,19429913496
2,1,1,timeStep,enter,13037071312,40000000000,19429913496
3,1,1,step-start,point,13037071312,40000000000,19429913496
4,1,1,momentumSolve,enter,15177087211,40000000000,19429913496
5,-1,1,PDE.solveRhs.afterAssemble,point,15636514315,40000000000,21021884659
6,-1,1,PDE.solveRhs.afterSavedRhs,point,16028522899,40000000000,21021884659
7,-1,1,PDE.solveRhs.beforeSolve,point,16028522899,40000000000,21021884659
8,-1,1,PDE.solveRhs.afterSolve,point,16028522899,40000000000,21021884659
9,1,1,momentumSolve,exit,15636514315,40000000000,21021884659
10,1,1,after-UEqn,point,15636514315,40000000000,21021884659
11,1,1,pEqn,enter,17682066011,40000000000,21021884659
12,-1,1,PDE.solveImpl.beforeAssemble,point,18821521547,40000000000,21021884659
13,-1,1,PDE.solveImpl.afterAssemble,point,19215613883,40000000000,21021884659
14,-1,1,PDE.solveImpl.beforeSolve,point,19215613883,40000000000,21021884659
15,-1,1,PDE.solveImpl.afterSolve,point,19215613883,40000000000,21021884659
16,1,1,pEqn,exit,19215613883,40000000000,21021884659
17,1,1,after-pEqn,point,17170062187,40000000000,21021884659
18,-1,1,kOmegaSST.correct,enter,17170062187,40000000000,21021884659
19,-1,1,kOmegaSST.afterGradients,point,18868766051,40000000000,21461773163
20,-1,1,kOmegaSST.omegaEqn.before,point,18872933555,40000000000,21461773163
21,-1,1,PDE.solveImpl.beforeAssemble,point,20012389091,40000000000,22158878851
22,-1,1,PDE.solveImpl.afterAssemble,point,20012389091,40000000000,22158878851
23,-1,1,PDE.solveImpl.beforeSolve,point,20012389091,40000000000,22158878851
24,-1,1,PDE.solveImpl.afterSolve,point,20012389091,40000000000,22158878851
25,-1,1,kOmegaSST.omegaEqn.after,point,20012389091,40000000000,22158878851
26,-1,0,kOmegaSST.boundRepair,enter,20537150955,40000000000,22158878851
27,-1,0,kOmegaSST.boundRepair,exit,20537150955,40000000000,22158878851
28,-1,1,kOmegaSST.kEqn.before,point,19095618643,40000000000,22158878851
29,-1,1,PDE.solveImpl.beforeAssemble,point,20235074179,40000000000,22381563939
30,-1,1,PDE.solveImpl.afterAssemble,point,20235074179,40000000000,22381563939
31,-1,1,PDE.solveImpl.beforeSolve,point,20235074179,40000000000,22381563939
32,-1,1,PDE.solveImpl.afterSolve,point,20235074179,40000000000,22381563939
33,-1,1,kOmegaSST.kEqn.after,point,20235074179,40000000000,22381563939
34,-1,1,kOmegaSST.correct,exit,19448973259,40000000000,22381563939
35,1,1,after-turb,point,19448973259,40000000000,22381563939
36,1,1,timeStep,exit,19448973259,40000000000,22381563939
37,2,2,timeStep,enter,19448973259,40000000000,22381563939
38,2,2,step-start,point,19448973259,40000000000,22381563939
39,2,2,momentumSolve,enter,19448973259,40000000000,22381563939
40,-1,2,PDE.solveRhs.afterAssemble,point,19448973259,40000000000,24834343603
41,-1,2,PDE.solveRhs.afterSavedRhs,point,19840981843,40000000000,24834343603
42,-1,2,PDE.solveRhs.beforeSolve,point,19840981843,40000000000,24834343603
43,-1,2,PDE.solveRhs.afterSolve,point,19840981843,40000000000,24834343603
44,2,2,momentumSolve,exit,19448973259,40000000000,24834343603
45,2,2,after-UEqn,point,19448973259,40000000000,24834343603
46,2,2,pEqn,enter,21494524955,40000000000,24834343603
47,-1,2,PDE.solveImpl.beforeAssemble,point,21494524955,40000000000,24834343603
48,-1,2,PDE.solveImpl.afterAssemble,point,21494524955,40000000000,24834343603
49,-1,2,PDE.solveImpl.beforeSolve,point,21494524955,40000000000,24834343603
50,-1,2,PDE.solveImpl.afterSolve,point,21494524955,40000000000,24834343603
51,2,2,pEqn,exit,21494524955,40000000000,24834343603
52,2,2,after-pEqn,point,19448973259,40000000000,24834343603
53,-1,2,kOmegaSST.correct,enter,19448973259,40000000000,24834343603
54,-1,2,kOmegaSST.afterGradients,point,21147677123,40000000000,24834343603
55,-1,2,kOmegaSST.omegaEqn.before,point,21151844627,40000000000,24834343603
56,-1,2,PDE.solveImpl.beforeAssemble,point,21151844627,40000000000,24834343603
57,-1,2,PDE.solveImpl.afterAssemble,point,21151844627,40000000000,24834343603
58,-1,2,PDE.solveImpl.beforeSolve,point,21151844627,40000000000,24834343603
59,-1,2,PDE.solveImpl.afterSolve,point,21151844627,40000000000,24834343603
60,-1,2,kOmegaSST.omegaEqn.after,point,21151844627,40000000000,24834343603
61,-1,0,kOmegaSST.boundRepair,enter,21676606491,40000000000,24834343603
62,-1,0,kOmegaSST.boundRepair,exit,21676606491,40000000000,24834343603
63,-1,2,kOmegaSST.kEqn.before,point,20235074179,40000000000,24834343603
64,-1,2,PDE.solveImpl.beforeAssemble,point,20235074179,40000000000,24834343603
65,-1,2,PDE.solveImpl.afterAssemble,point,20235074179,40000000000,24834343603
66,-1,2,PDE.solveImpl.beforeSolve,point,20235074179,40000000000,24834343603
67,-1,2,PDE.solveImpl.afterSolve,point,20235074179,40000000000,24834343603
68,-1,2,kOmegaSST.kEqn.after,point,20235074179,40000000000,24834343603
69,-1,2,kOmegaSST.correct,exit,19448973259,40000000000,24834343603
70,2,2,after-turb,point,19448973259,40000000000,24834343603
71,2,2,timeStep,exit,19448973259,40000000000,24834343603
72,3,3,timeStep,enter,19448973259,40000000000,24834343603
73,3,3,step-start,point,19448973259,40000000000,24834343603
74,3,3,momentumSolve,enter,19448973259,40000000000,24834343603
75,-1,3,PDE.solveRhs.afterAssemble,point,19448973259,40000000000,24834343603
76,-1,3,PDE.solveRhs.afterSavedRhs,point,19840981843,40000000000,24834343603
77,-1,3,PDE.solveRhs.beforeSolve,point,19840981843,40000000000,24834343603
78,-1,3,PDE.solveRhs.afterSolve,point,19840981843,40000000000,24834343603
79,3,3,momentumSolve,exit,19448973259,40000000000,24834343603
80,3,3,after-UEqn,point,19448973259,40000000000,24834343603
81,3,3,pEqn,enter,21494524955,40000000000,24834343603
82,-1,3,PDE.solveImpl.beforeAssemble,point,21494524955,40000000000,24834343603
83,-1,3,PDE.solveImpl.afterAssemble,point,21494524955,40000000000,24834343603
84,-1,3,PDE.solveImpl.beforeSolve,point,21494524955,40000000000,24834343603
85,-1,3,PDE.solveImpl.afterSolve,point,21494524955,40000000000,24834343603
86,3,3,pEqn,exit,21494524955,40000000000,24834343603
87,3,3,after-pEqn,point,19448973259,40000000000,24834343603
88,-1,3,kOmegaSST.correct,enter,19448973259,40000000000,24834343603
89,-1,3,kOmegaSST.afterGradients,point,21147677123,40000000000,24834343603
90,-1,3,kOmegaSST.omegaEqn.before,point,21151844627,40000000000,24834343603
91,-1,3,PDE.solveImpl.beforeAssemble,point,21151844627,40000000000,24834343603
92,-1,3,PDE.solveImpl.afterAssemble,point,21151844627,40000000000,24834343603
93,-1,3,PDE.solveImpl.beforeSolve,point,21151844627,40000000000,24834343603
94,-1,3,PDE.solveImpl.afterSolve,point,21151844627,40000000000,24834343603
95,-1,3,kOmegaSST.omegaEqn.after,point,21151844627,40000000000,24834343603
96,-1,0,kOmegaSST.boundRepair,enter,21676606491,40000000000,24834343603
