event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x4a675d0,A1,14035168
1,0.562322,0x329bec0,A0,14100464
2,0.650614,0x4a675d0,A1,28070336
3,1.315217,0x329bec0,A0,28200928
4,1.326262,0x4a675d0,A1,70175840
5,1.981602,0x329bec0,A0,70502320
6,3.200777,0x4a675d0,A1,112281344
7,3.853424,0x329bec0,A0,112803712
8,5.033676,0x4a675d0,A1,126316512
9,5.629244,0x4a675d0,A1,168422016
10,5.652015,0x329bec0,A0,126904176
11,6.265588,0x329bec0,A0,169205568
12,7.378427,0x4a675d0,A1,210527520
13,8.071640,0x329bec0,A0,211506960
14,9.134820,0x4a675d0,A1,252633024
15,9.853628,0x329bec0,A0,253808352
16,10.986564,0x4a675d0,A1,259650608
17,11.364954,0x4a675d0,A1,266668192
18,11.426629,0x4a675d0,A1,308773696
19,11.463590,0x4a675d0,A1,350879200
20,11.499359,0x4a675d0,A1,392984704
21,11.540546,0x4a675d0,A1,407019872
22,11.560813,0x4a675d0,A1,449125376
23,11.595922,0x4a675d0,A1,491230880
24,11.630429,0x329bec0,A0,260858584
25,11.630589,0x4a675d0,A1,505266048
26,11.651778,0x4a675d0,A1,519301216
27,11.705813,0x4a675d0,A1,519301216
28,11.892079,0x329bec0,A0,267908816
29,11.932664,0x329bec0,A0,310210208
30,11.970276,0x329bec0,A0,352511600
31,12.004964,0x329bec0,A0,394812992
32,12.046681,0x329bec0,A0,408913456
33,12.067540,0x329bec0,A0,451214848
34,12.100675,0x329bec0,A0,493516240
35,12.135964,0x329bec0,A0,507616704
36,12.155931,0x329bec0,A0,521717168
37,12.201554,0x329bec0,A0,521717168
38,14.091500,0x4c22470,A2,11422632
39,14.518477,0x4c22470,A2,22845264
40,14.966122,0x4c22470,A2,57113160
41,16.047968,0x4c22470,A2,91381056
42,16.221116,0x4a675d0,A1,519632776
43,16.269303,0x4a675d0,A1,519964336
44,16.352577,0x329bec0,A0,522057740
45,16.391991,0x329bec0,A0,522398312
46,16.392662,0x4a675d0,A1,519632776
47,16.454197,0x4a675d0,A1,512615192
48,16.458703,0x4a675d0,A1,470509688
49,16.460575,0x4a675d0,A1,428404184
50,16.462258,0x4a675d0,A1,386298680
51,16.465041,0x4a675d0,A1,372263512
52,16.465682,0x4a675d0,A1,330158008
53,16.466263,0x4a675d0,A1,288052504
54,16.466754,0x4a675d0,A1,274017336
55,16.467595,0x4a675d0,A1,259982168
56,16.475135,0x4a675d0,A1,266999752
57,16.475586,0x329bec0,A0,522057740
58,16.498948,0x4a675d0,A1,309105256
59,16.504045,0x329bec0,A0,515007508
60,16.507139,0x329bec0,A0,472706116
61,16.508782,0x329bec0,A0,430404724
62,16.509953,0x329bec0,A0,388103332
63,16.511635,0x329bec0,A0,374002868
64,16.513278,0x329bec0,A0,331701476
65,16.514069,0x329bec0,A0,289400084
66,16.514800,0x329bec0,A0,275299620
67,16.515371,0x329bec0,A0,261199156
68,16.519446,0x329bec0,A0,268249388
